ASV_ID,taxonomy,mean_Prob,mean_Cop_pro,mean_Cop_ctr
Zotu1,"d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria,o:Alteromonadales,f:Alteromonadaceae,g:Paraglaciecola",0.21,29.476388888888888,23.209999999999997
Zotu13,"d:Bacteria,p:Bacillota,c:Bacilli,o:Caryophanales,f:Bacillaceae,g:Weizmannia",12.211111111111112,0.1691666666666667,0.03722222222222223
Zotu4,"d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria,o:Alteromonadales,f:Alteromonadaceae,g:Paraglaciecola",0.05,6.916666666666667,5.422499999999999
Zotu2,"d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria,o:Oceanospirillales,f:Halomonadaceae,g:Halomonas",0.20888888888888887,5.188888888888889,6.636388888888887
Zotu3,"d:Bacteria,p:Bacteroidota,c:Flavobacteriia,o:Flavobacteriales,f:Flavobacteriaceae,g:Bizionia",0.08444444444444446,2.7977777777777777,7.113333333333334
Zotu17,"d:Bacteria,p:Bacillota,c:Bacilli,o:Caryophanales,f:Bacillaceae,g:Bacillus",7.782222222222222,0.1736111111111111,0.023888888888888887
Zotu14,"d:Bacteria,p:Pseudomonadota,c:Alphaproteobacteria,o:Rhodobacterales,f:Roseobacteraceae,g:Sulfitobacter",0.014444444444444444,6.0938888888888885,0.29277777777777775
Zotu15,"d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria,o:Alteromonadales,f:Alteromonadaceae,g:Paraglaciecola",0.021111111111111115,3.078333333333334,1.3647222222222222
Zotu29,"d:Bacteria,p:Bacillota,c:Bacilli,o:Caryophanales,f:Bacillaceae,g:Bacillus",4.14,0.051666666666666666,0.015
Zotu18,"d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria,o:Alteromonadales,f:Alteromonadaceae,g:Alteromonas",0.02,3.688888888888888,0.09694444444444443
Zotu8,"d:Bacteria,p:Bacteroidota,c:Flavobacteriia,o:Flavobacteriales,f:Flavobacteriaceae,g:Maribacter",0.031111111111111114,0.6963888888888891,2.2716666666666665
Zotu24,"d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria,o:Gammaproteobacteria_incertae_sedis,f:Marinicella",0.03666666666666667,0.11861111111111111,2.790277777777778
Zotu28,"d:Bacteria,p:Pseudomonadota,c:Alphaproteobacteria,o:Hyphomicrobiales,f:Stappiaceae,g:Stappia",0.02222222222222222,0.07944444444444444,2.703611111111112
Zotu6,"d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria,o:Oceanospirillales,f:Halomonadaceae,g:Halomonas",0.07222222222222222,1.1666666666666667,1.5591666666666666
Zotu45,"d:Bacteria,p:Bacillota,c:Bacilli,o:Caryophanales,f:Bacillaceae,g:Weizmannia",2.7133333333333334,0.02666666666666666,0.006666666666666665
Zotu7,"d:Bacteria,p:Bacteroidota,c:Flavobacteriia,o:Flavobacteriales,f:Flavobacteriaceae,g:Muricauda",0.032222222222222215,1.4036111111111111,1.0408333333333333
Zotu25,"d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria,o:Alteromonadales,f:Alteromonadaceae,g:Paraglaciecola",0.01,1.6966666666666668,0.7000000000000001
Zotu34,"d:Bacteria,p:Pseudomonadota,c:Alphaproteobacteria,o:Rhodobacterales,f:Roseobacteraceae",0.027777777777777776,0.3577777777777777,2.0002777777777774
Zotu30,"d:Bacteria,p:Verrucomicrobiota,c:Verrucomicrobiia,o:Verrucomicrobiales,f:Verrucomicrobiaceae",0.01,1.2955555555555556,1.077777777777778
Zotu61,"d:Bacteria,p:Bacillota,c:Bacilli,o:Caryophanales,f:Bacillaceae",2.3344444444444443,0.004444444444444445,0.006111111111111112
Zotu62,"d:Bacteria,p:Bacillota,c:Bacilli,o:Caryophanales,f:Bacillaceae,g:Weizmannia",2.3233333333333333,0.014166666666666671,0.006111111111111112
Zotu58,"d:Bacteria,p:Bacillota,c:Bacilli,o:Caryophanales,f:Bacillaceae,g:Weizmannia",2.172222222222222,0.02666666666666666,0.003055555555555556
Zotu22,"d:Bacteria,p:Pseudomonadota,c:Alphaproteobacteria,o:Rhodobacterales,f:Roseobacteraceae,g:Donghicola",0.005555555555555557,0.31972222222222213,1.8577777777777778
