"treatment","treatment_label","comparison_id","comparison_label","sample_id","n_compared","mean_similarity"
"Cop_pro","Probiotic-treated","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_pro_D21_2_3",12,0.498494444166667
"Cop_pro","Probiotic-treated","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_pro_D21_3_1",12,0.397052778333333
"Cop_pro","Probiotic-treated","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_pro_D21_3_2",12,0.31311389
"Cop_pro","Probiotic-treated","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_pro_D21_3_3",12,0.389547223333333
"Cop_pro","Probiotic-treated","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_pro_D21_4_1",12,0.473605555833333
"Cop_pro","Probiotic-treated","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_pro_D21_4_2",12,0.461099999166667
"Cop_pro","Probiotic-treated","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_pro_D21_4_3",12,0.362380555
"Cop_pro","Probiotic-treated","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_pro_D24_1_1",12,0.4270277775
"Cop_pro","Probiotic-treated","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_pro_D24_1_2",12,0.315383333333333
"Cop_pro","Probiotic-treated","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_pro_D24_1_3",12,0.3683972225
"Cop_pro","Probiotic-treated","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_pro_D24_2_1",12,0.388363889166667
"Cop_pro","Probiotic-treated","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_pro_D24_2_2",12,0.37388889
"Cop_pro","Probiotic-treated","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_pro_D24_2_3",12,0.385191666666667
"Cop_pro","Probiotic-treated","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_pro_D24_3_1",12,0.5583833325
"Cop_pro","Probiotic-treated","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_pro_D24_3_2",12,0.4642222225
"Cop_pro","Probiotic-treated","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_pro_D24_3_3",12,0.46515
"Cop_pro","Probiotic-treated","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_pro_D24_4_1",12,0.457527778333333
"Cop_pro","Probiotic-treated","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_pro_D24_4_2",12,0.448680555833333
"Cop_pro","Probiotic-treated","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_pro_D24_4_3",12,0.382030555833333
"Cop_pro","Probiotic-treated","within_d16","Within nauplii
(D16)","Cop_pro_D16_1_1",6,0.498833333333333
"Cop_pro","Probiotic-treated","within_d16","Within nauplii
(D16)","Cop_pro_D16_2_3",6,0.660494445
"Cop_pro","Probiotic-treated","within_d16","Within nauplii
(D16)","Cop_pro_D16_3_2",6,0.642511111666667
"Cop_pro","Probiotic-treated","within_d16","Within nauplii
(D16)","Cop_pro_D16_3_3",6,0.649566666666667
"Cop_pro","Probiotic-treated","within_d16","Within nauplii
(D16)","Cop_pro_D16_4_1",6,0.686177778333333
"Cop_pro","Probiotic-treated","within_d16","Within nauplii
(D16)","Cop_pro_D16_4_2",6,0.679544443333333
"Cop_pro","Probiotic-treated","within_d16","Within nauplii
(D16)","Cop_pro_D16_4_3",6,0.682638888333333
"Cop_pro","Probiotic-treated","within_d21","Within copepodites
(D21)","Cop_pro_D21_1_1",11,0.730293939090909
"Cop_pro","Probiotic-treated","within_d21","Within copepodites
(D21)","Cop_pro_D21_1_2",11,0.704381818181818
"Cop_pro","Probiotic-treated","within_d21","Within copepodites
(D21)","Cop_pro_D21_1_3",11,0.747606061818182
"Cop_pro","Probiotic-treated","within_d21","Within copepodites
(D21)","Cop_pro_D21_2_1",11,0.585454545454545
"Cop_pro","Probiotic-treated","within_d21","Within copepodites
(D21)","Cop_pro_D21_2_2",11,0.667060606363636
"Cop_pro","Probiotic-treated","within_d21","Within copepodites
(D21)","Cop_pro_D21_2_3",11,0.690272728181818
"Cop_pro","Probiotic-treated","within_d21","Within copepodites
(D21)","Cop_pro_D21_3_1",11,0.766512120909091
"Cop_pro","Probiotic-treated","within_d21","Within copepodites
(D21)","Cop_pro_D21_3_2",11,0.719172728181818
"Cop_pro","Probiotic-treated","within_d21","Within copepodites
(D21)","Cop_pro_D21_3_3",11,0.7488
"Cop_pro","Probiotic-treated","within_d21","Within copepodites
(D21)","Cop_pro_D21_4_1",11,0.745760606363636
"Cop_pro","Probiotic-treated","within_d21","Within copepodites
(D21)","Cop_pro_D21_4_2",11,0.760196969090909
"Cop_pro","Probiotic-treated","within_d21","Within copepodites
(D21)","Cop_pro_D21_4_3",11,0.717027272727273
"Cop_pro","Probiotic-treated","within_d24","Within adults
(D24)","Cop_pro_D24_1_1",11,0.549690909090909
"Cop_pro","Probiotic-treated","within_d24","Within adults
(D24)","Cop_pro_D24_1_2",11,0.46230909
"Cop_pro","Probiotic-treated","within_d24","Within adults
(D24)","Cop_pro_D24_1_3",11,0.47970606
"Cop_pro","Probiotic-treated","within_d24","Within adults
(D24)","Cop_pro_D24_2_1",11,0.578875757272727
"Cop_pro","Probiotic-treated","within_d24","Within adults
(D24)","Cop_pro_D24_2_2",11,0.573806060909091
"Cop_pro","Probiotic-treated","within_d24","Within adults
(D24)","Cop_pro_D24_2_3",11,0.55960909
"Cop_pro","Probiotic-treated","within_d24","Within adults
(D24)","Cop_pro_D24_3_1",11,0.311239393636364
"Cop_pro","Probiotic-treated","within_d24","Within adults
(D24)","Cop_pro_D24_3_2",11,0.612403031818182
"Cop_pro","Probiotic-treated","within_d24","Within adults
(D24)","Cop_pro_D24_3_3",11,0.628093940909091
"Cop_pro","Probiotic-treated","within_d24","Within adults
(D24)","Cop_pro_D24_4_1",11,0.6299
"Cop_pro","Probiotic-treated","within_d24","Within adults
(D24)","Cop_pro_D24_4_2",11,0.645003030909091
"Cop_pro","Probiotic-treated","within_d24","Within adults
(D24)","Cop_pro_D24_4_3",11,0.574454544545455
"Cop_ctr","Untreated control","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_ctr_D16_1_1",12,0.292955555833333
"Cop_ctr","Untreated control","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_ctr_D16_1_2",12,0.25725
"Cop_ctr","Untreated control","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_ctr_D16_1_3",12,0.265374999166667
"Cop_ctr","Untreated control","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_ctr_D16_2_1",12,0.2876722225
"Cop_ctr","Untreated control","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_ctr_D16_2_2",12,0.3690027775
"Cop_ctr","Untreated control","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_ctr_D16_3_1",12,0.1803583325
"Cop_ctr","Untreated control","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_ctr_D16_3_2",12,0.10870833275
"Cop_ctr","Untreated control","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_ctr_D16_3_3",12,0.121644444166667
"Cop_ctr","Untreated control","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_ctr_D16_4_1",12,0.042325
"Cop_ctr","Untreated control","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_ctr_D16_4_2",12,0.140611110833333
"Cop_ctr","Untreated control","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_ctr_D16_4_3",12,0.324547221666667
"Cop_ctr","Untreated control","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_ctr_D21_1_1",11,0.208936363272727
"Cop_ctr","Untreated control","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_ctr_D21_1_2",11,0.221675757
"Cop_ctr","Untreated control","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_ctr_D21_1_3",11,0.224860607272727
"Cop_ctr","Untreated control","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_ctr_D21_2_1",11,0.190263636090909
"Cop_ctr","Untreated control","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_ctr_D21_2_2",11,0.197263634272727
"Cop_ctr","Untreated control","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_ctr_D21_2_3",11,0.180987877545455
