"term","sum_sq","mean_sq","num_df","den_df","f_value","p_value"
"treatment",827.576430713445,827.576430713445,1,19.3391960349892,0.127162759148271,0.725253253753098
"day",17421447.9639032,8710723.98195161,2,14.7771933068415,1338.46211010271,1.98864863086291e-17
"treatment:day",45330.8356484811,22665.4178242406,2,14.7771933092433,3.48269593092946,0.0576488027825107
