"treatment","day","emmean","SE","df","lower.CL","upper.CL"
"control","Oct15",135.139896551747,19.2975380019957,20.7888131503745,94.9836311526217,175.296161950871
"probiotic","Oct15",121.726826086945,20.7590410676958,27.7760967852477,79.1884100590384,164.265242114851
"control","Oct20",484.102929234035,8.29209321334651,11.3474482848517,465.92010380778,502.28575466029
"probiotic","Oct20",463.4574366016,8.31974124992149,11.503090105766,445.243047405737,481.671825797463
"control","Oct23",783.570548072055,8.36184978815771,11.6703126055868,765.29439502338,801.84670112073
"probiotic","Oct23",805.920598972233,8.17504924163272,10.6224177626654,787.84909547178,823.992102472686
