"contrast","day","estimate","std_error","df","conf_low","conf_high","statistic","p_value"
"control - probiotic","Oct15",13.413070464802,28.3431254273192,24.1617023295168,-45.0635548723089,71.8896958019129,0.473238934047602,0.640290366194935
"control - probiotic","Oct20",20.6454926324344,11.7463570661066,11.4251324482022,-5.09117582986957,46.3821610947383,1.75760812618286,0.10554416603587
"control - probiotic","Oct23",-22.3500509001785,11.6940994515539,11.1397982821826,-48.049236533171,3.3491347328139,-1.91122463023082,0.082035374383692
