ASV_ID,taxonomy,mean_Prob,mean_Cop_pro,mean_Cop_ctr
Zotu65,"d:Bacteria,p:Bacillota,c:Bacilli,o:Caryophanales,f:Bacillaceae,g:Weizmannia",1.16,0.021666666666666667,0.0022222222222222222
Zotu14,"d:Bacteria,p:Pseudomonadota,c:Alphaproteobacteria,o:Rhodobacterales,f:Roseobacteraceae,g:Sulfitobacter",0.02444444444444445,0.98,0.17416666666666666
Zotu99,"d:Bacteria,p:Bacillota,c:Bacilli,o:Caryophanales,f:Bacillaceae",1.17,0.003055555555555556,0.003611111111111112
Zotu104,"d:Bacteria,p:Bacillota,c:Bacilli,o:Caryophanales,f:Bacillaceae",1.1,0.0027777777777777788,0.004444444444444445
Zotu282,"d:Bacteria,p:Bacillota,c:Bacilli",1.04,0.0019444444444444448,0.001666666666666667
Zotu90,"d:Bacteria,p:Bacillota,c:Bacilli,o:Caryophanales,f:Bacillaceae",0.9900000000000001,0.003611111111111112,0.0013888888888888892
Zotu94,"d:Bacteria,p:Bacillota,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactiplantibacillus",0.9722222222222222,0.005555555555555557,0.0025
Zotu365,"d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria,o:Oceanospirillales,f:Halomonadaceae,g:Halomonas",0.015555555555555557,0.553611111111111,0.3791666666666667
Zotu406,"d:Bacteria,p:Bacteroidota,c:Flavobacteriia,o:Flavobacteriales,f:Flavobacteriaceae,g:Bizionia",0.0033333333333333335,0.6988888888888888,0.23305555555555554
Zotu2146,"d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria,o:Alteromonadales,f:Alteromonadaceae",0.015555555555555557,0.5847222222222223,0.33305555555555555
Zotu157,"d:Bacteria,p:Bacillota,c:Bacilli",0.8999999999999999,0.0022222222222222222,0.0011111111111111111
Zotu108,"d:Bacteria,p:Bacillota,c:Bacilli,o:Caryophanales,f:Bacillaceae",0.8877777777777778,0.0025,0.0022222222222222222
Zotu50,"d:Bacteria,p:Bacteroidota,c:Flavobacteriia,o:Flavobacteriales,f:Flavobacteriaceae,g:Muricauda",0.0044444444444444444,0.19333333333333336,0.6405555555555557
Zotu96,"d:Bacteria,p:Bacillota,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactiplantibacillus",0.8222222222222223,0.0011111111111111111,8.333333333333334e-4
Zotu103,"d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria,o:Enterobacterales,f:Enterobacteriaceae",0.7966666666666667,0.002500000000000001,0.005000000000000002
Zotu257,"d:Bacteria,p:Bacillota,c:Bacilli",0.7977777777777778,0.0013888888888888892,0.001666666666666667
Zotu56,"d:Bacteria,p:Bacteroidota,c:Flavobacteriia,o:Flavobacteriales,f:Flavobacteriaceae,g:Arenibacter",0.0044444444444444444,0.10527777777777778,0.6877777777777778
Zotu25,"d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria,o:Alteromonadales,f:Alteromonadaceae,g:Paraglaciecola",0.011111111111111113,0.5055555555555555,0.2663888888888889
Zotu43,"d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria,o:Oceanospirillales,f:Halomonadaceae,g:Halomonas",0.01,0.34,0.42444444444444446
Zotu57,"d:Bacteria,p:Pseudomonadota,c:Alphaproteobacteria,o:Rhodobacterales,f:Roseobacteraceae",0.011111111111111113,0.10055555555555555,0.6541666666666667
Zotu1825,"d:Bacteria,p:Bacillota,c:Bacilli,o:Caryophanales,f:Bacillaceae",0.76,0.0027777777777777783,0.0027777777777777783
Zotu123,"d:Bacteria,p:Bacillota,c:Bacilli,o:Caryophanales,f:Bacillaceae",0.7366666666666667,0.0025,0.0013888888888888892
Zotu1284,"d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria,o:Oceanospirillales,f:Halomonadaceae,g:Halomonas",0.007777777777777778,0.5475,0.16416666666666666
Zotu63,"d:Bacteria,p:Pseudomonadota,c:Alphaproteobacteria,o:Rhodobacterales,f:Roseobacteraceae",0.005555555555555557,0.0988888888888889,0.6083333333333333
Zotu184,"d:Bacteria,p:Bacillota,c:Bacilli,o:Lactobacillales",0.708888888888889,0.001666666666666667,8.333333333333334e-4
Zotu237,"d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria",0.01,0.44527777777777766,0.24138888888888885
Zotu288,"d:Bacteria,p:Bacillota,c:Bacilli",0.6933333333333334,0.0013888888888888892,0.0011111111111111111
Zotu64,"d:Bacteria,p:Bacteroidota,c:Flavobacteriia,o:Flavobacteriales,f:Flavobacteriaceae,g:Pseudofulvibacter",0.0044444444444444444,0.1238888888888889,0.5630555555555555
Zotu47,"d:Bacteria,p:Pseudomonadota,c:Alphaproteobacteria,o:Rhodobacterales,f:Roseobacteraceae",0.0033333333333333335,0.007777777777777778,0.6783333333333333
Zotu39,"d:Bacteria,p:Pseudomonadota,c:Alphaproteobacteria,o:Rhodobacterales,f:Roseobacteraceae,g:Sulfitobacter",0.0033333333333333335,0.13722222222222225,0.5436111111111112
Zotu1557,"d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria,o:Alteromonadales,f:Alteromonadaceae,g:Paraglaciecola",0.015555555555555557,0.3630555555555555,0.28833333333333333
Zotu276,"d:Bacteria,p:Bacillota,c:Bacilli",0.6544444444444446,0.0013888888888888892,0.0013888888888888892
Zotu107,"d:Bacteria,p:Bacillota,c:Bacilli,o:Caryophanales,f:Bacillaceae",0.6433333333333333,0.011111111111111113,0.002500000000000001
Zotu256,"d:Bacteria,p:Bacteroidota,c:Flavobacteriia,o:Flavobacteriales,f:Flavobacteriaceae",0.0044444444444444444,0.4666666666666666,0.18388888888888888
Zotu69,"d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria,o:Oceanospirillales,f:Halomonadaceae,g:Halomonas",0.01111111111111111,0.305,0.33
Zotu2040,"d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria,o:Alteromonadales,f:Alteromonadaceae",0.01,0.4811111111111112,0.1352777777777778
Zotu67,"d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria,o:Oceanospirillales,f:Halomonadaceae,g:Halomonas",0.0044444444444444444,0.34777777777777774,0.27277777777777773
Zotu250,"d:Bacteria,p:Bacillota,c:Bacilli,o:Caryophanales,f:Bacillaceae",0.6222222222222222,0.0011111111111111111,5.555555555555556e-4
Zotu110,"d:Bacteria,p:Bacillota,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactiplantibacillus",0.6022222222222223,5.555555555555556e-4,2.777777777777778e-4
