treatment,treatment_label,comparison_id,comparison_label,sample_id,n_compared,mean_similarity
Cop_ctr,Untreated control,within_d24,"Within adults
(D24)",Cop_ctr_D24_1_2,11,0.6086090909090909
Cop_ctr,Untreated control,within_d24,"Within adults
(D24)",Cop_ctr_D24_1_3,11,0.5760666645454545
Cop_ctr,Untreated control,within_d24,"Within adults
(D24)",Cop_ctr_D24_2_1,11,0.5880090909090909
Cop_ctr,Untreated control,within_d24,"Within adults
(D24)",Cop_ctr_D24_2_2,11,0.4414030309090909
Cop_ctr,Untreated control,within_d24,"Within adults
(D24)",Cop_ctr_D24_2_3,11,0.58569394
Cop_ctr,Untreated control,within_d24,"Within adults
(D24)",Cop_ctr_D24_3_1,11,0.5820454563636364
Cop_ctr,Untreated control,within_d24,"Within adults
(D24)",Cop_ctr_D24_3_2,11,0.624724240909091
Cop_ctr,Untreated control,within_d24,"Within adults
(D24)",Cop_ctr_D24_3_3,11,0.5765030309090909
Cop_ctr,Untreated control,within_d24,"Within adults
(D24)",Cop_ctr_D24_4_1,11,0.5806242409090909
Cop_ctr,Untreated control,within_d24,"Within adults
(D24)",Cop_ctr_D24_4_2,11,0.4919818172727273
Cop_ctr,Untreated control,within_d24,"Within adults
(D24)",Cop_ctr_D24_4_3,11,0.5000454545454546
Cop_pro,Probiotic-treated,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_pro_D16_1_1,12,0.46391388833333336
Cop_pro,Probiotic-treated,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_pro_D16_2_3,12,0.428055555
Cop_pro,Probiotic-treated,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_pro_D16_3_2,12,0.4019777766666667
Cop_pro,Probiotic-treated,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_pro_D16_3_3,12,0.37970833416666666
Cop_pro,Probiotic-treated,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_pro_D16_4_1,12,0.3870472225
Cop_pro,Probiotic-treated,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_pro_D16_4_2,12,0.34874444416666667
Cop_pro,Probiotic-treated,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_pro_D16_4_3,12,0.36947777833333334
Cop_pro,Probiotic-treated,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_pro_D21_1_1,7,0.4581095242857143
Cop_pro,Probiotic-treated,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_pro_D21_1_2,7,0.43937142714285715
Cop_pro,Probiotic-treated,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_pro_D21_1_3,7,0.4249047614285714
Cop_pro,Probiotic-treated,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_pro_D21_2_1,7,0.28406666714285717
Cop_pro,Probiotic-treated,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_pro_D21_2_2,7,0.42140476285714284
Cop_pro,Probiotic-treated,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_pro_D21_2_3,7,0.37860476
Cop_pro,Probiotic-treated,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_pro_D21_3_1,7,0.3858190457142857
Cop_pro,Probiotic-treated,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_pro_D21_3_2,7,0.3936142871428571
Cop_pro,Probiotic-treated,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_pro_D21_3_3,7,0.42764285714285716
Cop_pro,Probiotic-treated,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_pro_D21_4_1,7,0.37496666714285715
Cop_pro,Probiotic-treated,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_pro_D21_4_2,7,0.39030476285714283
Cop_pro,Probiotic-treated,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_pro_D21_4_3,7,0.3850619042857143
Cop_ctr,Untreated control,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_ctr_D16_1_1,12,0.2929555558333333
Cop_ctr,Untreated control,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_ctr_D16_1_2,12,0.25725
Cop_ctr,Untreated control,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_ctr_D16_1_3,12,0.2653749991666667
Cop_ctr,Untreated control,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_ctr_D16_2_1,12,0.2876722225
Cop_ctr,Untreated control,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_ctr_D16_2_2,12,0.3690027775
Cop_ctr,Untreated control,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_ctr_D16_3_1,12,0.1803583325
Cop_ctr,Untreated control,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_ctr_D16_3_2,12,0.10870833275
Cop_ctr,Untreated control,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_ctr_D16_3_3,12,0.12164444416666667
