"term","estimate","std_error","df","statistic","p_value"
"(Intercept)",135.139896551747,19.2975380019957,20.7888131503745,7.00296050914735,6.87225826987304e-07
"treatmentprobiotic",-13.413070464802,28.3431254273192,24.1617023295168,-0.473238934047602,0.640290366194935
"dayOct20",348.963032682288,21.0036611760259,18.6791405878427,16.6143906892101,1.21339242669462e-12
"dayOct23",648.430651520308,21.0312982199907,18.756781346344,30.83169877283,1.56746711360354e-17
"treatmentprobiotic:dayOct20",-7.23242216763236,30.6807702529323,21.2486452610267,-0.235731440508444,0.815898293109041
"treatmentprobiotic:dayOct23",35.7631213649805,30.6608010490851,21.1623163594465,1.16641183991661,0.25642502349948
