similarity,group
0.69633333,Within_pro
0.77386667,Within_pro
0.5764,Within_pro
0.765,Within_pro
0.7234,Within_pro
0.75443333,Within_pro
0.67666667,Within_pro
0.8066,Within_pro
0.7754,Within_pro
0.78963333,Within_pro
0.6955,Within_pro
0.8263,Within_pro
0.44966667,Within_pro
0.6182,Within_pro
0.58846667,Within_pro
0.73216667,Within_pro
0.81436667,Within_pro
0.74543333,Within_pro
0.7017,Within_pro
0.75383333,Within_pro
0.82173333,Within_pro
0.54886667,Within_pro
0.70523333,Within_pro
0.66893333,Within_pro
0.78716667,Within_pro
0.80116667,Within_pro
0.82406667,Within_pro
0.73806667,Within_pro
0.7732,Within_pro
0.7768,Within_pro
0.5593,Within_pro
0.7792,Within_pro
0.64343333,Within_pro
0.51763333,Within_pro
0.56486667,Within_pro
0.66686667,Within_pro
0.63563333,Within_pro
0.49813333,Within_pro
0.73146667,Within_pro
0.67126667,Within_pro
0.61016667,Within_pro
0.77293333,Within_pro
0.63333333,Within_pro
0.64336667,Within_pro
0.6274,Within_pro
0.72253333,Within_pro
0.6234,Within_pro
0.7051,Within_pro
0.73336667,Within_pro
0.71926667,Within_pro
0.59786667,Within_pro
0.83503333,Within_pro
0.8005,Within_pro
0.84833333,Within_pro
0.86016667,Within_pro
0.7766,Within_pro
0.78866667,Within_pro
0.71296667,Within_pro
0.73633333,Within_pro
0.7945,Within_pro
0.7271,Within_pro
0.75623333,Within_pro
0.7453,Within_pro
0.90363333,Within_pro
0.7626,Within_pro
0.79086667,Within_pro
0.74703333,Within_ctr
0.89573333,Within_ctr
0.5158,Within_ctr
0.53716667,Within_ctr
0.45986667,Within_ctr
0.72836667,Within_ctr
0.60766667,Within_ctr
0.5803,Within_ctr
0.6889,Within_ctr
0.69376667,Within_ctr
0.59843333,Within_ctr
0.7476,Within_ctr
0.65536667,Within_ctr
0.6175,Within_ctr
0.59526667,Within_ctr
0.80896667,Within_ctr
0.7196,Within_ctr
0.61886667,Within_ctr
0.5993,Within_ctr
0.69703333,Within_ctr
0.60326667,Within_ctr
0.50133333,Within_ctr
0.5482,Within_ctr
0.45543333,Within_ctr
0.7229,Within_ctr
0.62846667,Within_ctr
0.59286667,Within_ctr
0.70583333,Within_ctr
0.71793333,Within_ctr
0.6315,Within_ctr
0.80836667,Within_ctr
0.86563333,Within_ctr
0.63473333,Within_ctr
0.5766,Within_ctr
0.5076,Within_ctr
0.40983333,Within_ctr
0.49076667,Within_ctr
0.41443333,Within_ctr
0.7823,Within_ctr
0.6839,Within_ctr
0.64916667,Within_ctr
0.63036667,Within_ctr
0.5464,Within_ctr
0.57896667,Within_ctr
0.52666667,Within_ctr
0.5854,Within_ctr
0.57166667,Within_ctr
0.50846667,Within_ctr
0.38363333,Within_ctr
0.48616667,Within_ctr
0.41233333,Within_ctr
0.7523,Within_ctr
0.6892,Within_ctr
0.68423333,Within_ctr
0.6944,Within_ctr
0.6331,Within_ctr
0.81866667,Within_ctr
0.57753333,Within_ctr
0.74353333,Within_ctr
0.7309,Within_ctr
0.61746667,Within_ctr
0.7271,Within_ctr
0.7314,Within_ctr
0.71256667,Within_ctr
0.72256667,Within_ctr
0.84523333,Within_ctr
0.6376,Between
0.73593333,Between
0.6537,Between
0.61383333,Between
0.72036667,Between
0.59193333,Between
0.79353333,Between
0.76073333,Between
0.70793333,Between
0.64453333,Between
0.68786667,Between
0.63946667,Between
0.70126667,Between
0.76616667,Between
0.72376667,Between
0.5286,Between
0.51236667,Between
0.48103333,Between
0.68303333,Between
0.6335,Between
0.58523333,Between
0.59953333,Between
0.71576667,Between
0.62086667,Between
0.65776667,Between
0.75336667,Between
0.67136667,Between
