Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_pro_D16;Mean Cop_pro_D21;;;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_pro_D16;Mean Cop_pro_D24;;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_pro_D21;Mean Cop_pro_D24;;
Zotu824;0.004782;0.00793;98.33;0.429;2.92;;;;;;Zotu774;0.006667;0.008677;98.26;0;4;;;;;Zotu1758;0.005347;0.009212;98.16;1.83;2.67;;
Zotu812;0.004762;0.007897;98.34;2.86;0;;;;;;Zotu761;0.006667;0.008677;98.27;0;4;;;;;Zotu569;0.005278;0.009092;98.17;3.17;0;;
Zotu2028;0.004762;0.007897;98.35;2.86;0;;;;;;Zotu609;0.006627;0.008626;98.28;0.857;4;;;;;Zotu171;0.005255;0.009052;98.18;2.83;1.08;;
Zotu34;0.004742;0.007864;98.35;1;3.08;;;;;;Zotu2201;0.006587;0.008574;98.28;1;4;;;;;Zotu271;0.005185;0.008933;98.19;2.67;3.25;;
Zotu354;0.004722;0.007831;98.36;0;2.83;;;;;;Zotu581;0.006587;0.008574;98.29;1;4;;;;;Zotu1226;0.005116;0.008813;98.2;3.25;0.917;;
Zotu371;0.004702;0.007798;98.37;3;1.42;;;;;;Zotu819;0.006528;0.008497;98.3;3.86;0.0833;;;;;Zotu391;0.005116;0.008813;98.2;3.58;0.917;;
Zotu296;0.004663;0.007732;98.38;2.71;1.25;;;;;;Zotu1498;0.006528;0.008497;98.31;0;3.92;;;;;Zotu998;0.004977;0.008574;98.21;3.17;0.583;;
Zotu517;0.004583;0.007601;98.38;0;2.75;;;;;;Zotu135;0.006508;0.008471;98.32;3.86;0.333;;;;;Zotu1383;0.004977;0.008574;98.22;3.42;1.83;;
Zotu569;0.004563;0.007568;98.39;0.429;3.17;;;;;;Zotu2119;0.006488;0.008445;98.33;1.14;4.42;;;;;Zotu2253;0.004884;0.008414;98.23;0.667;2.83;;
Zotu107;0.004484;0.007436;98.4;0.857;3.33;;;;;;Zotu788;0.006448;0.008393;98.34;0.143;3.92;;;;;Zotu1179;0.004815;0.008295;98.24;3.33;1.08;;
Zotu215;0.004464;0.007403;98.41;0.143;2.75;;;;;;Zotu822;0.006389;0.008316;98.34;0;3.83;;;;;Zotu1805;0.004792;0.008255;98.25;0.25;2.83;;
Zotu581;0.004444;0.00737;98.41;1;2.33;;;;;;Zotu872;0.006389;0.008316;98.35;0;3.83;;;;;Zotu2136;0.004792;0.008255;98.26;3.17;1.75;;
Zotu1213;0.004425;0.007338;98.42;0.143;2.75;;;;;;Zotu858;0.006389;0.008316;98.36;0;3.83;;;;;Zotu1776;0.004745;0.008175;98.26;2.17;2.33;;
Zotu87;0.004385;0.007272;98.43;1.86;2.42;;;;;;Zotu340;0.006329;0.008238;98.37;0.143;3.92;;;;;Zotu824;0.004722;0.008135;98.27;2.92;0.25;;
Zotu68;0.004365;0.007239;98.44;0.571;3;;;;;;Zotu47;0.00629;0.008187;98.38;4.14;0.583;;;;;Zotu379;0.004722;0.008135;98.28;1;2.75;;
Zotu784;0.004345;0.007206;98.44;2.29;0.75;;;;;;Zotu172;0.00629;0.008187;98.39;0.429;3.75;;;;;Zotu497;0.004722;0.008135;98.29;0;2.83;;
Zotu1678;0.004325;0.007173;98.45;2.71;0.167;;;;;;Zotu1389;0.00627;0.008161;98.39;3.86;0.667;;;;;Zotu1995;0.004699;0.008095;98.3;2.5;1.75;;
Zotu673;0.004306;0.00714;98.46;0;2.58;;;;;;Zotu486;0.00625;0.008135;98.4;0;3.75;;;;;Zotu1739;0.004699;0.008095;98.3;2.17;1.83;;
Zotu797;0.004306;0.00714;98.47;0;2.58;;;;;;Zotu708;0.006171;0.008032;98.41;0.143;3.75;;;;;Zotu203;0.004676;0.008055;98.31;0.75;2.5;;
Zotu773;0.004306;0.00714;98.47;0;2.58;;;;;;Zotu464;0.006171;0.008032;98.42;0.143;3.75;;;;;Zotu107;0.004653;0.008015;98.32;3.33;0.667;;
Zotu1592;0.004266;0.007074;98.48;0.429;2.42;;;;;;Zotu195;0.006151;0.008006;98.43;0.286;3.83;;;;;Zotu1389;0.00463;0.007976;98.33;3.17;0.667;;
Zotu326;0.004226;0.007008;98.49;0.143;2.58;;;;;;Zotu804;0.006111;0.007954;98.43;0;3.67;;;;;Zotu2242;0.004583;0.007896;98.34;2.17;2.5;;
Zotu625;0.004206;0.006976;98.49;2;2.67;;;;;;Zotu935;0.006111;0.007954;98.44;0;3.67;;;;;Zotu1905;0.004583;0.007896;98.34;3.75;1.58;;
Zotu340;0.004206;0.006976;98.5;0.143;2.67;;;;;;Zotu291;0.006091;0.007928;98.45;3;0.917;;;;;Zotu340;0.00456;0.007856;98.35;2.67;3.92;;
Zotu1750;0.004187;0.006943;98.51;1.57;2.25;;;;;;Zotu171;0.006012;0.007825;98.46;3.71;1.08;;;;;Zotu167;0.004468;0.007696;98.36;2.67;0.333;;
Zotu840;0.004167;0.00691;98.51;3.43;1.33;;;;;;Zotu326;0.005992;0.007799;98.47;0.143;3.67;;;;;Zotu1600;0.004444;0.007657;98.37;0;2.67;;
Zotu717;0.004167;0.00691;98.52;2.43;0.167;;;;;;Zotu236;0.005992;0.007799;98.47;0.143;3.67;;;;;Zotu1598;0.004398;0.007577;98.37;0.25;2.67;;
Zotu1900;0.004107;0.006811;98.53;0.714;2.42;;;;;;Zotu571;0.005952;0.007748;98.48;0.571;3.67;;;;;Zotu797;0.004375;0.007537;98.38;2.58;0.583;;
Zotu1956;0.004107;0.006811;98.53;2.57;0.25;;;;;;Zotu2142;0.005952;0.007748;98.49;3.57;0;;;;;Zotu164;0.004375;0.007537;98.39;1.75;2.33;;
Zotu271;0.004087;0.006778;98.54;0.429;2.67;;;;;;Zotu865;0.005833;0.007593;98.5;0;3.5;;;;;Zotu713;0.004352;0.007497;98.4;0.25;2.67;;
Zotu1889;0.004048;0.006712;98.55;2.43;0;;;;;;Zotu575;0.005833;0.007593;98.5;0;3.5;;;;;Zotu620;0.004329;0.007457;98.4;2.17;1.42;;
Zotu2033;0.004028;0.006679;98.56;0.143;2.42;;;;;;Zotu1946;0.005714;0.007438;98.51;0.143;3.5;;;;;Zotu1213;0.004329;0.007457;98.41;2.75;0.25;;
Zotu987;0.004028;0.006679;98.56;0;2.42;;;;;;Zotu241;0.005556;0.007231;98.52;0;3.33;;;;;Zotu658;0.004306;0.007417;98.42;0;2.58;;
Zotu620;0.004008;0.006647;98.57;1.71;2.17;;;;;;Zotu368;0.005536;0.007205;98.53;1.29;3.75;;;;;Zotu161;0.004306;0.007417;98.43;0.5;2.67;;
Zotu485;0.004008;0.006647;98.57;2.43;0.167;;;;;;Zotu425;0.005516;0.007179;98.53;0.429;3.67;;;;;Zotu1836;0.004306;0.007417;98.43;1.67;1.92;;
Zotu559;0.003929;0.006515;98.58;1.57;2.5;;;;;;Zotu62;0.005496;0.007154;98.54;1.14;4.25;;;;;Zotu411;0.004282;0.007377;98.44;0.667;2.58;;
Zotu1894;0.003929;0.006515;98.59;0.286;2.5;;;;;;Zotu854;0.005476;0.007128;98.55;3.29;0;;;;;Zotu634;0.004282;0.007377;98.45;3.17;1.58;;
Zotu478;0.003909;0.006482;98.59;0.286;2.58;;;;;;Zotu1766;0.005476;0.007128;98.55;3.29;0;;;;;Zotu1518;0.004236;0.007298;98.46;1.25;2.42;;
Zotu242;0.003909;0.006482;98.6;0.143;2.42;;;;;;Zotu498;0.005456;0.007102;98.56;3.29;0.0833;;;;;Zotu928;0.004213;0.007258;98.46;0.167;2.5;;
Zotu275;0.003889;0.006449;98.61;1.43;2.17;;;;;;Zotu554;0.005437;0.007076;98.57;0.714;3.33;;;;;Zotu2117;0.00419;0.007218;98.47;2.5;0.5;;
Zotu132;0.003889;0.006449;98.61;0.571;2.5;;;;;;Zotu963;0.005417;0.00705;98.58;0;3.25;;;;;Zotu918;0.004167;0.007178;98.48;0.5;2.25;;
Zotu1814;0.00381;0.006318;98.62;2.29;0;;;;;;Zotu969;0.005417;0.00705;98.58;0;3.25;;;;;Zotu773;0.004097;0.007058;98.48;2.58;0.25;;
Zotu61;0.00381;0.006318;98.63;0.857;2.5;;;;;;Zotu82;0.005377;0.006999;98.59;3.29;0.25;;;;;Zotu2033;0.004097;0.007058;98.49;2.42;0.25;;
Zotu1237;0.00381;0.006318;98.63;2.29;0;;;;;;Zotu1170;0.005357;0.006973;98.6;3.86;1.83;;;;;Zotu625;0.004097;0.007058;98.5;2.67;2.75;;
Zotu597;0.00379;0.006285;98.64;0.286;2.42;;;;;;Zotu1564;0.005238;0.006818;98.6;3.14;0;;;;;Zotu1039;0.004097;0.007058;98.51;0.0833;2.5;;
Zotu1136;0.00379;0.006285;98.65;1.71;2.42;;;;;;Zotu840;0.005238;0.006818;98.61;3.43;0.333;;;;;Zotu269;0.004097;0.007058;98.51;1.67;1.92;;
Zotu372;0.00379;0.006285;98.65;2.43;0.917;;;;;;Zotu373;0.005159;0.006715;98.62;3.29;0.667;;;;;Zotu478;0.004074;0.007018;98.52;2.58;0.167;;
Zotu1686;0.00379;0.006285;98.66;2.43;0.75;;;;;;Zotu271;0.005139;0.006689;98.62;0.429;3.25;;;;;Zotu710;0.004074;0.007018;98.53;0.333;2.25;;
Zotu1858;0.00375;0.006219;98.66;2;1.75;;;;;;Zotu1979;0.005119;0.006663;98.63;3.71;1;;;;;Zotu575;0.004051;0.006979;98.53;1.58;3.5;;
Zotu352;0.00375;0.006219;98.67;1.43;2.25;;;;;;Zotu2117;0.005119;0.006663;98.64;3.43;0.5;;;;;Zotu1894;0.004051;0.006979;98.54;2.5;0.0833;;
Zotu392;0.00371;0.006153;98.68;0.857;1.92;;;;;;Zotu255;0.005099;0.006637;98.64;3.71;0.917;;;;;Zotu673;0.004028;0.006939;98.55;2.58;0.417;;
Zotu944;0.00369;0.00612;98.68;0.571;2.17;;;;;;Zotu238;0.00502;0.006534;98.65;0.143;3.08;;;;;Zotu260;0.004028;0.006939;98.56;2.58;0.25;;
Zotu1924;0.003651;0.006054;98.69;0.286;2.33;;;;;;Zotu655;0.005;0.006508;98.66;2.86;0.333;;;;;Zotu392;0.004005;0.006899;98.56;1.92;1.33;;
Zotu24;0.003631;0.006021;98.69;1;2.08;;;;;;Zotu594;0.005;0.006508;98.66;3.43;0.667;;;;;Zotu61;0.003958;0.006819;98.57;2.5;1.33;;
Zotu128;0.003631;0.006021;98.7;1.43;1.92;;;;;;Zotu1805;0.005;0.006508;98.67;0.857;2.83;;;;;Zotu608;0.003958;0.006819;98.58;1.33;3;;
Zotu1739;0.003611;0.005988;98.71;0;2.17;;;;;;Zotu1891;0.005;0.006508;98.68;3.14;0.5;;;;;Zotu1290;0.003935;0.006779;98.58;1.83;1.42;;
Zotu929;0.003611;0.005988;98.71;0;2.17;;;;;;Zotu847;0.005;0.006508;98.68;3;0;;;;;Zotu242;0.003889;0.006699;98.59;2.42;1.92;;
Zotu1100;0.003571;0.005923;98.72;2.14;0;;;;;;Zotu707;0.005;0.006508;98.69;3;0;;;;;Zotu597;0.003866;0.00666;98.6;2.42;0.417;;
Zotu1776;0.003571;0.005923;98.72;0.143;2.17;;;;;;Zotu293;0.00498;0.006482;98.7;0.143;3.08;;;;;Zotu80;0.003819;0.00658;98.6;1.83;1.5;;
Zotu2242;0.003532;0.005857;98.73;0.571;2.17;;;;;;Zotu2251;0.00496;0.006456;98.7;3.14;0.5;;;;;Zotu122;0.003796;0.00654;98.61;1.08;1.75;;
Zotu72;0.003492;0.005791;98.74;1.43;2;;;;;;Zotu625;0.004901;0.006379;98.71;2;2.75;;;;;Zotu559;0.003773;0.0065;98.62;2.5;0.583;;
Zotu718;0.003472;0.005758;98.74;0;2.08;;;;;;Zotu1544;0.004881;0.006353;98.71;3.14;0.5;;;;;Zotu1924;0.00375;0.00646;98.62;2.33;0.167;;
Zotu664;0.003472;0.005758;98.75;0;2.08;;;;;;Zotu1648;0.004821;0.006276;98.72;2.86;2.58;;;;;Zotu1900;0.003681;0.006341;98.63;2.42;0.583;;
Zotu571;0.003472;0.005758;98.75;0.571;2.42;;;;;;Zotu358;0.004821;0.006276;98.73;2.86;0.0833;;;;;Zotu677;0.003681;0.006341;98.63;2.25;0.917;;
Zotu1326;0.003433;0.005692;98.76;2;0.583;;;;;;Zotu812;0.004762;0.006198;98.73;2.86;0;;;;;Zotu944;0.003611;0.006221;98.64;2.17;0;;
Zotu1835;0.003433;0.005692;98.76;1.86;1.42;;;;;;Zotu2028;0.004762;0.006198;98.74;2.86;0;;;;;Zotu1229;0.003588;0.006181;98.65;1.58;2.42;;
Zotu473;0.003413;0.005659;98.77;2.14;0.167;;;;;;Zotu630;0.004722;0.006146;98.75;0;2.83;;;;;Zotu680;0.003565;0.006141;98.65;2.25;0.75;;
Zotu2179;0.003373;0.005594;98.78;0.714;1.83;;;;;;Zotu497;0.004722;0.006146;98.75;0;2.83;;;;;Zotu125;0.003565;0.006141;98.66;0.5;2;;
Zotu2050;0.003333;0.005528;98.78;2;0;;;;;;Zotu74;0.004702;0.006121;98.76;1.71;1.58;;;;;Zotu684;0.003565;0.006141;98.67;0.417;2.08;;
Zotu324;0.003333;0.005528;98.79;2;0;;;;;;Zotu608;0.004683;0.006095;98.76;0.286;3;;;;;Zotu929;0.003519;0.006061;98.67;2.17;0.0833;;
Zotu2007;0.003333;0.005528;98.79;0;2;;;;;;Zotu2253;0.004683;0.006095;98.77;0.143;2.83;;;;;Zotu1858;0.003495;0.006022;98.68;1.75;1.83;;
Zotu659;0.003333;0.005528;98.8;2;0;;;;;;Zotu1678;0.004524;0.005888;98.78;2.71;0;;;;;Zotu1251;0.003472;0.005982;98.68;0.167;2.08;;
Zotu369;0.003333;0.005528;98.8;1.57;0.833;;;;;;Zotu1879;0.004504;0.005862;98.78;2;2.92;;;;;Zotu1338;0.003449;0.005942;98.69;0.917;2;;
Zotu837;0.003333;0.005528;98.81;2;0;;;;;;Zotu1598;0.004444;0.005785;98.79;0;2.67;;;;;Zotu47;0.003426;0.005902;98.7;2.33;0.583;;
Zotu195;0.003313;0.005495;98.81;0.286;2.08;;;;;;Zotu1758;0.004444;0.005785;98.79;0;2.67;;;;;Zotu1136;0.003426;0.005902;98.7;2.42;1.83;;
Zotu1795;0.003294;0.005462;98.82;1.86;0.167;;;;;;Zotu713;0.004444;0.005785;98.8;0;2.67;;;;;Zotu1472;0.003426;0.005902;98.71;0.667;2;;
Zotu80;0.003294;0.005462;98.83;0.857;1.83;;;;;;Zotu1750;0.004444;0.005785;98.8;1.57;2.83;;;;;Zotu833;0.003403;0.005862;98.71;0.0833;2;;
Zotu850;0.003254;0.005396;98.83;1.86;0.5;;;;;;Zotu1600;0.004444;0.005785;98.81;0;2.67;;;;;Zotu275;0.003403;0.005862;98.72;2.17;0.25;;
Zotu160;0.003194;0.005297;98.84;0;1.92;;;;;;Zotu161;0.004365;0.005682;98.82;0.571;2.67;;;;;Zotu1175;0.003403;0.005862;98.72;0.583;1.92;;
Zotu513;0.003194;0.005297;98.84;0;1.92;;;;;;Zotu254;0.004325;0.00563;98.82;0.143;2.67;;;;;Zotu493;0.003356;0.005782;98.73;2;0.333;;
Zotu74;0.003194;0.005297;98.85;1.71;0.417;;;;;;Zotu658;0.004306;0.005604;98.83;0;2.58;;;;;Zotu128;0.003356;0.005782;98.74;1.92;0.667;;
Zotu405;0.003194;0.005297;98.85;0;1.92;;;;;;Zotu1039;0.004167;0.005423;98.83;0;2.5;;;;;Zotu1318;0.003356;0.005782;98.74;0.417;2;;
Zotu770;0.003175;0.005265;98.86;0.714;2;;;;;;Zotu928;0.004167;0.005423;98.84;0;2.5;;;;;Zotu1202;0.003333;0.005742;98.75;0.917;1.83;;
Zotu55;0.003135;0.005199;98.86;1.71;0.5;;;;;;Zotu1518;0.004147;0.005398;98.84;1.43;2.42;;;;;Zotu513;0.003333;0.005742;98.75;1.92;1.33;;
Zotu570;0.003115;0.005166;98.87;1.86;0.0833;;;;;;Zotu40;0.004107;0.005346;98.85;1.57;1.25;;;;;Zotu856;0.003333;0.005742;98.76;1.83;1.08;;
Zotu1221;0.003115;0.005166;98.87;1.86;0.0833;;;;;;Zotu1956;0.004107;0.005346;98.85;2.57;0.25;;;;;Zotu216;0.003333;0.005742;98.76;0;2;;
Zotu511;0.003095;0.005133;98.88;1.86;0;;;;;;Zotu1889;0.004067;0.005294;98.86;2.43;0.0833;;;;;Zotu770;0.003264;0.005623;98.77;2;0.25;;
Zotu902;0.003095;0.005133;98.88;1.86;0;;;;;;Zotu717;0.004048;0.005268;98.87;2.43;0;;;;;Zotu405;0.003194;0.005503;98.78;1.92;0.167;;
Zotu781;0.003095;0.005133;98.89;1.86;0;;;;;;Zotu485;0.004048;0.005268;98.87;2.43;0;;;;;Zotu688;0.003194;0.005503;98.78;0.917;2;;
Zotu688;0.003075;0.0051;98.89;1.86;0.917;;;;;;Zotu1229;0.004028;0.005243;98.88;0;2.42;;;;;Zotu134;0.003194;0.005503;98.79;2.17;0.667;;
Zotu2138;0.003075;0.0051;98.9;1.86;0.0833;;;;;;Zotu449;0.003988;0.005191;98.88;1.14;2.75;;;;;Zotu2179;0.003171;0.005463;98.79;1.83;0.583;;
Zotu856;0.003056;0.005067;98.9;0;1.83;;;;;;Zotu620;0.003948;0.005139;98.89;1.71;1.42;;;;;Zotu72;0.003148;0.005423;98.8;2;0.833;;
Zotu1758;0.003056;0.005067;98.91;0;1.83;;;;;;Zotu1809;0.003948;0.005139;98.89;2.29;0.917;;;;;Zotu504;0.003148;0.005423;98.8;0.167;1.75;;
Zotu1064;0.003056;0.005067;98.91;0;1.83;;;;;;Zotu1858;0.003929;0.005113;98.9;2;1.83;;;;;Zotu2077;0.003148;0.005423;98.81;1.92;0.0833;;
Zotu1290;0.003056;0.005067;98.92;0;1.83;;;;;;Zotu784;0.003869;0.005036;98.9;2.29;0.0833;;;;;Zotu1064;0.003148;0.005423;98.81;1.83;1;;
Zotu402;0.003056;0.005067;98.92;0;1.83;;;;;;Zotu684;0.003829;0.004984;98.91;0.857;2.08;;;;;Zotu213;0.003125;0.005383;98.82;1.58;1.08;;
Zotu863;0.003036;0.005034;98.93;0.286;1.92;;;;;;Zotu1814;0.00381;0.004958;98.91;2.29;0;;;;;Zotu2003;0.003125;0.005383;98.82;0.25;1.92;;
Zotu806;0.002996;0.004968;98.93;0.143;1.92;;;;;;Zotu1776;0.00381;0.004958;98.92;0.143;2.33;;;;;Zotu1831;0.003079;0.005304;98.83;1.92;1.08;;
Zotu1612;0.002956;0.004903;98.94;0.857;1.92;;;;;;Zotu164;0.00381;0.004958;98.92;0.571;2.33;;;;;Zotu74;0.003079;0.005304;98.84;0.417;1.58;;
Zotu1145;0.002937;0.00487;98.94;0.143;1.83;;;;;;Zotu1237;0.00379;0.004933;98.93;2.29;0.0833;;;;;Zotu230;0.003079;0.005304;98.84;0.417;1.83;;
Zotu681;0.002917;0.004837;98.95;0.143;1.75;;;;;;Zotu749;0.00377;0.004907;98.93;1.71;1.33;;;;;Zotu806;0.003079;0.005304;98.85;1.92;0.0833;;
Zotu1504;0.002917;0.004837;98.95;0;1.75;;;;;;Zotu710;0.00375;0.004881;98.94;0;2.25;;;;;Zotu536;0.003056;0.005264;98.85;0.25;1.75;;
Zotu1687;0.002917;0.004837;98.96;0;1.75;;;;;;Zotu918;0.00375;0.004881;98.94;0;2.25;;;;;Zotu863;0.003032;0.005224;98.86;1.92;0.917;;
Zotu2077;0.002917;0.004837;98.96;0.571;1.92;;;;;;Zotu1686;0.00375;0.004881;98.95;2.43;1.08;;;;;Zotu162;0.003032;0.005224;98.86;0.833;1.33;;
Zotu1303;0.002897;0.004804;98.97;1.71;0.167;;;;;;Zotu388;0.00373;0.004855;98.95;0.286;2.33;;;;;Zotu2095;0.003009;0.005184;98.87;1.92;1.42;;
Zotu60;0.002897;0.004804;98.97;1.14;1.33;;;;;;Zotu688;0.00373;0.004855;98.96;1.86;2;;;;;Zotu1059;0.003009;0.005184;98.87;0.5;1.67;;
Zotu959;0.002877;0.004771;98.98;1.43;0.417;;;;;;Zotu1136;0.00373;0.004855;98.96;1.71;1.83;;;;;Zotu1627;0.003009;0.005184;98.88;1.08;2.42;;
Zotu328;0.002877;0.004771;98.98;0.429;2.08;;;;;;Zotu2014;0.00371;0.004829;98.96;3;2.08;;;;;Zotu1612;0.002986;0.005144;98.88;1.92;0.5;;
Zotu70;0.002857;0.004738;98.99;1;1.5;;;;;;Zotu2242;0.00369;0.004804;98.97;0.571;2.5;;;;;Zotu579;0.002986;0.005144;98.89;0.25;1.58;;
Zotu1293;0.002857;0.004738;98.99;1.71;0;;;;;;Zotu1827;0.003671;0.004778;98.97;1;2.08;;;;;Zotu1504;0.002986;0.005144;98.89;1.75;0.667;;
Zotu110;0.002857;0.004738;99;1.71;0.167;;;;;;Zotu414;0.003611;0.0047;98.98;0;2.17;;;;;Zotu1170;0.002963;0.005104;98.9;0.667;1.83;;
Zotu627;0.002837;0.004705;99;0.143;1.75;;;;;;Zotu76;0.003611;0.0047;98.98;1.29;2.67;;;;;Zotu1145;0.002963;0.005104;98.9;1.83;0.25;;
Zotu1707;0.002798;0.004639;99.01;1.71;0.0833;;;;;;Zotu1100;0.003571;0.004649;98.99;2.14;0;;;;;Zotu1165;0.00294;0.005064;98.91;1.33;1.08;;
Zotu207;0.002778;0.004607;99.01;0.143;1.67;;;;;;Zotu1627;0.003552;0.004623;98.99;0.429;2.42;;;;;Zotu744;0.002917;0.005025;98.91;0.333;1.83;;
Zotu94;0.002778;0.004607;99.02;0.143;1.67;;;;;;Zotu659;0.003512;0.004571;99;2;0.25;;;;;Zotu99;0.002917;0.005025;98.92;0.917;1.75;;
Zotu1836;0.002778;0.004607;99.02;0;1.67;;;;;;Zotu1722;0.003492;0.004545;99;0.429;2;;;;;Zotu60;0.002917;0.005025;98.92;1.33;1.33;;
Zotu332;0.002758;0.004574;99.02;1.57;0.417;;;;;;Zotu1251;0.003472;0.004519;99.01;0;2.08;;;;;Zotu100;0.002917;0.005025;98.93;1.58;1.17;;
Zotu1862;0.002738;0.004541;99.03;0.714;1.67;;;;;;Zotu833;0.003452;0.004494;99.01;0.143;2;;;;;Zotu674;0.002917;0.005025;98.93;0;1.75;;
Zotu319;0.002718;0.004508;99.03;1.29;0.917;;;;;;Zotu324;0.003433;0.004468;99.02;2;0.0833;;;;;Zotu2175;0.00287;0.004945;98.94;1.42;1.33;;
Zotu40;0.002718;0.004508;99.04;1.57;0.0833;;;;;;Zotu473;0.003373;0.00439;99.02;2.14;0.167;;;;;Zotu1150;0.002847;0.004905;98.94;0.75;1.08;;
Zotu164;0.002718;0.004508;99.04;0.571;1.75;;;;;;Zotu216;0.003333;0.004339;99.02;0;2;;;;;Zotu920;0.002847;0.004905;98.95;0.75;1.58;;
Zotu1518;0.002679;0.004442;99.05;1.43;1.25;;;;;;Zotu1318;0.003333;0.004339;99.03;0;2;;;;;Zotu94;0.002824;0.004865;98.95;1.67;0.5;;
Zotu1831;0.002679;0.004442;99.05;1;1.92;;;;;;Zotu837;0.003333;0.004339;99.03;2;0;;;;;Zotu1005;0.002824;0.004865;98.96;0.167;1.75;;
Zotu575;0.002639;0.004376;99.06;0;1.58;;;;;;Zotu1326;0.003274;0.004261;99.04;2;0.25;;;;;Zotu699;0.002801;0.004825;98.96;1;1.58;;
Zotu1229;0.002639;0.004376;99.06;0;1.58;;;;;;Zotu348;0.003254;0.004235;99.04;1.86;0.333;;;;;Zotu2009;0.002801;0.004825;98.97;0.0833;1.67;;
Zotu551;0.002639;0.004376;99.06;0;1.58;;;;;;Zotu1472;0.003254;0.004235;99.05;0.286;2;;;;;Zotu1378;0.002778;0.004785;98.97;1.25;1.08;;
Zotu309;0.002639;0.004376;99.07;1.57;0.0833;;;;;;Zotu1007;0.003254;0.004235;99.05;1.57;1.33;;;;;Zotu975;0.002778;0.004785;98.98;0;1.67;;
Zotu1017;0.002619;0.004343;99.07;1.57;0;;;;;;Zotu1338;0.003254;0.004235;99.05;0.571;2;;;;;Zotu1500;0.002778;0.004785;98.98;1.75;0.417;;
Zotu2095;0.00256;0.004245;99.08;0.571;1.92;;;;;;Zotu299;0.003234;0.00421;99.06;0.143;1.92;;;;;Zotu292;0.002731;0.004706;98.99;0.667;1.58;;
Zotu213;0.00256;0.004245;99.08;1.14;1.58;;;;;;Zotu2050;0.003194;0.004158;99.06;2;0.25;;;;;Zotu1912;0.002708;0.004666;98.99;1;1.58;;
Zotu788;0.00256;0.004245;99.09;0.143;1.58;;;;;;Zotu1905;0.003194;0.004158;99.07;1.71;1.58;;;;;Zotu2032;0.002708;0.004666;99;0.333;1.75;;
Zotu690;0.00254;0.004212;99.09;1.43;0.167;;;;;;Zotu1836;0.003194;0.004158;99.07;0;1.92;;;;;Zotu103;0.002708;0.004666;99;0.75;1.58;;
Zotu1524;0.00254;0.004212;99.09;0.857;1.17;;;;;;Zotu2003;0.003194;0.004158;99.08;0;1.92;;;;;Zotu1950;0.002708;0.004666;99.01;1;1.33;;
Zotu2175;0.00252;0.004179;99.1;0.857;1.42;;;;;;Zotu1175;0.003194;0.004158;99.08;0;1.92;;;;;Zotu851;0.002685;0.004626;99.01;0.167;1.58;;
Zotu53;0.00252;0.004179;99.1;0.286;1.75;;;;;;Zotu511;0.003095;0.004029;99.08;1.86;0;;;;;Zotu346;0.002685;0.004626;99.01;0.417;1.5;;
Zotu499;0.0025;0.004146;99.11;1.57;0.167;;;;;;Zotu850;0.003095;0.004029;99.09;1.86;0;;;;;Zotu1865;0.002662;0.004586;99.02;0.417;1.75;;
Zotu466;0.0025;0.004146;99.11;0;1.5;;;;;;Zotu570;0.003095;0.004029;99.09;1.86;0;;;;;Zotu2115;0.002639;0.004546;99.02;1.58;0;;
Zotu931;0.0025;0.004146;99.12;0;1.5;;;;;;Zotu2138;0.003095;0.004029;99.1;1.86;0;;;;;Zotu811;0.002639;0.004546;99.03;0;1.58;;
Zotu2263;0.002381;0.003948;99.12;1.43;0;;;;;;Zotu902;0.003095;0.004029;99.1;1.86;0;;;;;Zotu1091;0.002639;0.004546;99.03;0.25;1.5;;
Zotu1369;0.002381;0.003948;99.12;1.43;0;;;;;;Zotu781;0.003095;0.004029;99.1;1.86;0;;;;;Zotu621;0.002593;0.004466;99.04;0.333;1.67;;
Zotu1007;0.002381;0.003948;99.13;1.57;0.333;;;;;;Zotu1795;0.003095;0.004029;99.11;1.86;0;;;;;Zotu1687;0.002569;0.004426;99.04;1.75;0.5;;
Zotu1261;0.002361;0.003916;99.13;1.43;0.0833;;;;;;Zotu1221;0.003095;0.004029;99.11;1.86;0;;;;;Zotu908;0.002569;0.004426;99.05;0.667;1.5;;
Zotu2135;0.002361;0.003916;99.13;0.286;1.42;;;;;;Zotu242;0.003075;0.004003;99.12;0.143;1.92;;;;;Zotu1951;0.002546;0.004387;99.05;0.5;1.5;;
Zotu1014;0.002321;0.00385;99.14;1.43;0.25;;;;;;Zotu71;0.003056;0.003977;99.12;1;1.17;;;;;Zotu228;0.002546;0.004387;99.05;1.83;0.667;;
Zotu394;0.002321;0.00385;99.14;0.143;1.42;;;;;;Zotu1835;0.003056;0.003977;99.12;1.86;0.167;;;;;Zotu466;0.002523;0.004347;99.06;1.5;0.0833;;
Zotu606;0.002282;0.003784;99.15;0.286;1.42;;;;;;Zotu1739;0.003056;0.003977;99.13;0;1.83;;;;;Zotu739;0.0025;0.004307;99.06;0;1.5;;
Zotu1534;0.002262;0.003751;99.15;1.29;0.333;;;;;;Zotu744;0.003056;0.003977;99.13;0;1.83;;;;;Zotu1028;0.0025;0.004307;99.07;0;1.5;;
