Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_pro_D16;Mean Cop_pro_D21;;;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_pro_D16;Mean Cop_pro_D24;;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_pro_D21;Mean Cop_pro_D24;;
Zotu245;0.358;0.5937;69.26;5.86;221;;;;;;Zotu180;0.3456;0.4499;72.51;209;1.33;;;;;Zotu2118;0.2744;0.4727;73.6;281;156;;
Zotu561;0.3528;0.5851;69.85;215;3.83;;;;;;Zotu37;0.3442;0.4481;72.96;0.714;207;;;;;Zotu10;0.2699;0.4649;74.06;3.75;166;;
Zotu180;0.333;0.5522;70.4;209;10.2;;;;;;Zotu84;0.3361;0.4375;73.39;52.6;238;;;;;Zotu890;0.2472;0.4259;74.49;232;108;;
Zotu100;0.2764;0.4584;70.86;167;1.58;;;;;;Zotu31;0.2931;0.3815;73.78;64.6;223;;;;;Zotu1284;0.2412;0.4154;74.9;164;22.3;;
Zotu406;0.2713;0.4499;71.31;47.3;210;;;;;;Zotu46;0.2831;0.3685;74.14;186;16.8;;;;;Zotu39;0.2392;0.412;75.31;41.2;165;;
Zotu890;0.2697;0.4472;71.76;85.7;232;;;;;;Zotu2078;0.282;0.367;74.51;190;158;;;;;Zotu95;0.234;0.403;75.72;0.75;141;;
Zotu1284;0.2602;0.4315;72.19;8.14;164;;;;;;Zotu100;0.2771;0.3607;74.87;167;1.17;;;;;Zotu365;0.2078;0.3581;76.08;166;43.8;;
Zotu25;0.2547;0.4224;72.61;252;152;;;;;;Zotu10;0.2714;0.3532;75.22;2.86;166;;;;;Zotu256;0.2063;0.3553;76.43;140;62.9;;
Zotu151;0.2493;0.4134;73.02;1;151;;;;;;Zotu39;0.2654;0.3454;75.57;7.86;165;;;;;Zotu151;0.2009;0.3461;76.78;151;37.5;;
Zotu2074;0.2441;0.4048;73.43;147;0.667;;;;;;Zotu112;0.2456;0.3197;75.89;149;1.33;;;;;Zotu138;0.1975;0.3402;77.12;145;42.7;;
Zotu138;0.2415;0.4004;73.83;0.286;145;;;;;;Zotu2074;0.2448;0.3187;76.21;147;0.25;;;;;Zotu1077;0.1816;0.3128;77.43;125;53;;
Zotu46;0.2387;0.3958;74.22;186;90.7;;;;;;Zotu27;0.2441;0.3178;76.53;152;5.08;;;;;Zotu2040;0.1801;0.3103;77.74;144;107;;
Zotu2040;0.2327;0.3859;74.61;4.71;144;;;;;;Zotu95;0.2344;0.3051;76.83;0.143;141;;;;;Zotu89;0.1785;0.3076;78.05;2.75;110;;
Zotu256;0.2288;0.3794;74.99;2.71;140;;;;;;Zotu1717;0.2284;0.2972;77.13;62.6;177;;;;;Zotu2146;0.1785;0.3075;78.36;175;92.9;;
Zotu112;0.2261;0.3749;75.36;149;13.8;;;;;;Zotu2118;0.2167;0.282;77.41;28.1;156;;;;;Zotu34;0.1738;0.2994;78.65;3.08;107;;
Zotu2146;0.2145;0.3557;75.72;49;175;;;;;;Zotu133;0.2108;0.2743;77.69;134;7.25;;;;;Zotu237;0.1681;0.2895;78.94;134;120;;
Zotu365;0.2134;0.3539;76.07;39.3;166;;;;;;Zotu2196;0.2044;0.2661;77.95;160;47.5;;;;;Zotu528;0.1592;0.2743;79.22;39.9;122;;
Zotu27;0.2122;0.3519;76.43;152;32.7;;;;;;Zotu147;0.2037;0.2651;78.22;126;6.42;;;;;Zotu67;0.1572;0.2708;79.49;104;10.2;;
Zotu1299;0.2101;0.3484;76.77;143;19.5;;;;;;Zotu588;0.1995;0.2597;78.48;151;155;;;;;Zotu159;0.157;0.2705;79.76;5.67;99.5;;
Zotu1077;0.2028;0.3362;77.11;3.43;125;;;;;;Zotu1299;0.199;0.259;78.74;143;30.3;;;;;Zotu173;0.1442;0.2484;80.01;35.9;104;;
Zotu2196;0.2012;0.3336;77.44;160;43.4;;;;;;Zotu528;0.1972;0.2567;78.99;4;122;;;;;Zotu111;0.1422;0.245;80.25;0;85.3;;
Zotu147;0.1973;0.3273;77.77;126;84.2;;;;;;Zotu113;0.1785;0.2324;79.22;110;3.08;;;;;Zotu1669;0.1415;0.2437;80.5;94.7;9.83;;
Zotu49;0.1879;0.3116;78.08;119;5.83;;;;;;Zotu89;0.1779;0.2316;79.46;3.86;110;;;;;Zotu105;0.1357;0.2337;80.73;87.5;7.17;;
Zotu113;0.1777;0.2947;78.38;110;3.42;;;;;;Zotu34;0.1772;0.2307;79.69;1;107;;;;;Zotu87;0.1346;0.2319;80.96;2.42;82.6;;
Zotu133;0.1751;0.2903;78.67;134;37.3;;;;;;Zotu1610;0.1767;0.2301;79.92;8.29;114;;;;;Zotu46;0.134;0.2309;81.19;90.7;16.8;;
Zotu237;0.1728;0.2866;78.96;30.1;134;;;;;;Zotu173;0.1731;0.2253;80.14;0.143;104;;;;;Zotu1610;0.1339;0.2306;81.42;41.7;114;;
Zotu1943;0.1557;0.2582;79.21;97.4;4;;;;;;Zotu2040;0.1722;0.2242;80.37;4.71;107;;;;;Zotu69;0.1322;0.2278;81.65;91.5;13.2;;
Zotu155;0.1522;0.2524;79.47;101;11.3;;;;;;Zotu890;0.1708;0.2223;80.59;85.7;108;;;;;Zotu147;0.1301;0.2241;81.88;84.2;6.42;;
Zotu563;0.1497;0.2483;79.71;98.6;9.25;;;;;;Zotu237;0.1693;0.2204;80.81;30.1;120;;;;;Zotu43;0.1284;0.2212;82.1;102;26.5;;
Zotu1669;0.1494;0.2478;79.96;5;94.7;;;;;;Zotu43;0.1675;0.218;81.03;126;26.5;;;;;Zotu63;0.125;0.2153;82.31;29.7;85.3;;
Zotu1422;0.1484;0.246;80.21;6.57;95.6;;;;;;Zotu481;0.1629;0.2121;81.24;0.571;98.3;;;;;Zotu481;0.1237;0.2131;82.53;33.8;98.3;;
Zotu1958;0.1429;0.237;80.44;33.3;117;;;;;;Zotu50;0.1581;0.2058;81.44;1.29;96.2;;;;;Zotu1422;0.1232;0.2123;82.74;95.6;35.6;;
Zotu1557;0.1422;0.2359;80.68;23.6;109;;;;;;Zotu155;0.1576;0.2052;81.65;101;21.3;;;;;Zotu182;0.1219;0.21;82.95;5.67;76.7;;
Zotu1330;0.1422;0.2358;80.92;104;54.9;;;;;;Zotu22;0.1544;0.2009;81.85;3.29;95.9;;;;;Zotu1557;0.1218;0.2098;83.16;109;43.8;;
Zotu67;0.1339;0.222;81.14;24;104;;;;;;Zotu1330;0.1509;0.1964;82.05;104;25.8;;;;;Zotu1861;0.121;0.2085;83.37;81.6;28.1;;
Zotu1917;0.1314;0.2179;81.36;1.57;80.4;;;;;;Zotu44;0.1507;0.1961;82.24;134;77.1;;;;;Zotu127;0.1197;0.2063;83.57;48;55.1;;
Zotu1861;0.1305;0.2164;81.57;3.29;81.6;;;;;;Zotu1943;0.1446;0.1882;82.43;97.4;11;;;;;Zotu1958;0.1193;0.2054;83.78;117;53.7;;
Zotu85;0.1302;0.216;81.79;82;72.7;;;;;;Zotu111;0.1422;0.1851;82.62;0;85.3;;;;;Zotu68;0.1181;0.2034;83.98;3;73.8;;
Zotu83;0.1261;0.2091;82;96.6;25.5;;;;;;Zotu159;0.1406;0.183;82.8;18;99.5;;;;;Zotu248;0.1154;0.1988;84.18;2.5;71.7;;
Zotu716;0.1251;0.2075;82.21;78.3;3.67;;;;;;Zotu563;0.1398;0.182;82.98;98.6;15;;;;;Zotu1917;0.1149;0.1979;84.38;80.4;15.5;;
Zotu2210;0.1247;0.2068;82.41;76;1.17;;;;;;Zotu63;0.1362;0.1773;83.16;4.14;85.3;;;;;Zotu50;0.1147;0.1976;84.58;58;96.2;;
Zotu1199;0.1221;0.2026;82.61;74.3;1;;;;;;Zotu87;0.1354;0.1762;83.33;1.86;82.6;;;;;Zotu973;0.1092;0.1881;84.76;74.5;38.8;;
Zotu130;0.1218;0.202;82.82;74.4;1.33;;;;;;Zotu85;0.1293;0.1683;83.5;82;13.1;;;;;Zotu85;0.1074;0.185;84.95;72.7;13.1;;
Zotu52;0.1217;0.2018;83.02;90.1;18.3;;;;;;Zotu154;0.1284;0.1672;83.67;79;22.1;;;;;Zotu153;0.1018;0.1754;85.12;77.9;71.7;;
Zotu973;0.1206;0.2;83.22;2.14;74.5;;;;;;Zotu716;0.125;0.1627;83.83;78.3;3.5;;;;;Zotu92;0.09727;0.1676;85.29;14.3;68.9;;
Zotu153;0.1201;0.1992;83.42;5.86;77.9;;;;;;Zotu742;0.1248;0.1625;84;89.3;122;;;;;Zotu1344;0.09715;0.1674;85.46;78.2;21.6;;
Zotu154;0.1189;0.1972;83.61;79;9.5;;;;;;Zotu130;0.1236;0.1609;84.16;74.4;0.25;;;;;Zotu535;0.0913;0.1573;85.62;65;39;;
Zotu1735;0.1171;0.1943;83.81;70.3;0;;;;;;Zotu1199;0.1227;0.1597;84.32;74.3;0.667;;;;;Zotu1580;0.09056;0.156;85.77;83;37.5;;
Zotu105;0.1162;0.1926;84;36.3;87.5;;;;;;Zotu52;0.1222;0.1591;84.48;90.1;19.1;;;;;Zotu562;0.08486;0.1462;85.92;63.4;40.1;;
Zotu1580;0.1104;0.1831;84.18;18.4;83;;;;;;Zotu182;0.1221;0.159;84.63;10.3;76.7;;;;;Zotu17;0.08396;0.1446;86.06;35.3;52.1;;
Zotu43;0.1091;0.1809;84.37;126;102;;;;;;Zotu68;0.122;0.1587;84.79;0.571;73.8;;;;;Zotu38;0.08178;0.1409;86.2;36.3;63.3;;
Zotu1492;0.1079;0.1789;84.54;73.6;11.4;;;;;;Zotu2146;0.1198;0.1559;84.95;49;92.9;;;;;Zotu13;0.08137;0.1402;86.34;44.1;50.8;;
Zotu2254;0.1025;0.17;84.71;11;72.5;;;;;;Zotu1735;0.117;0.1523;85.1;70.3;0.0833;;;;;Zotu143;0.08051;0.1387;86.48;50.8;54.3;;
Zotu1781;0.09853;0.1634;84.88;59.3;0.167;;;;;;Zotu2210;0.1162;0.1512;85.25;76;6.5;;;;;Zotu163;0.07949;0.1369;86.62;3.67;50.7;;
Zotu337;0.09756;0.1618;85.04;59.3;0.75;;;;;;Zotu996;0.1127;0.1467;85.4;71.7;4.08;;;;;Zotu1945;0.07796;0.1343;86.75;37.1;68.5;;
Zotu1344;0.09651;0.16;85.2;21.3;78.2;;;;;;Zotu153;0.111;0.1445;85.54;5.86;71.7;;;;;Zotu2254;0.07512;0.1294;86.88;72.5;34.8;;
Zotu69;0.095;0.1575;85.36;36.1;91.5;;;;;;Zotu406;0.1025;0.1334;85.68;47.3;48.2;;;;;Zotu97;0.07502;0.1292;87.01;33.9;24.5;;
