Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_ctr_D16;Mean Cop_ctr_D21;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_ctr_D16;Mean Cop_ctr_D24;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_ctr_D21;Mean Cop_ctr_D24;
Zotu942;0.003232;0.00413;99.08;1.45;0.667;;;;Zotu2014;0.004571;0.005498;98.78;2.82;2.5;;;;Zotu215;0.003588;0.006601;98.54;0.667;2.08;
Zotu1692;0.00322;0.004114;99.08;1.91;0.0833;;;;Zotu2050;0.004545;0.005467;98.78;2.73;0;;;;Zotu377;0.003565;0.006558;98.54;0.167;2.17;
Zotu80;0.00322;0.004114;99.09;0.545;1.92;;;;Zotu1596;0.00452;0.005437;98.79;0.182;2.83;;;;Zotu61;0.003542;0.006516;98.55;1.58;1.83;
Zotu2085;0.003194;0.004081;99.09;1.91;0.0833;;;;Zotu143;0.004508;0.005422;98.79;0.909;3.25;;;;Zotu1891;0.003495;0.006431;98.56;2.08;0.333;
Zotu1255;0.003194;0.004081;99.09;0;1.92;;;;Zotu449;0.004407;0.0053;98.8;0.273;2.92;;;;Zotu1909;0.003495;0.006431;98.56;0.667;2.17;
Zotu1901;0.003182;0.004065;99.1;1.91;0;;;;Zotu1185;0.004394;0.005285;98.8;2.64;0;;;;Zotu1855;0.003472;0.006388;98.57;1.67;1.83;
Zotu634;0.003182;0.004065;99.1;1.36;1.33;;;;Zotu1869;0.004381;0.00527;98.81;0.182;2.75;;;;Zotu66;0.003472;0.006388;98.58;1.5;1.75;
Zotu540;0.003182;0.004065;99.11;0.182;2;;;;Zotu490;0.004369;0.005255;98.82;0.636;3;;;;Zotu581;0.003472;0.006388;98.58;1.83;0.75;
Zotu1678;0.003157;0.004033;99.11;1.91;0.167;;;;Zotu255;0.004343;0.005224;98.82;1.36;2.5;;;;Zotu1686;0.003472;0.006388;98.59;0.583;2;
Zotu165;0.003157;0.004033;99.11;0.182;1.83;;;;Zotu2219;0.004331;0.005209;98.83;0.636;2.92;;;;Zotu1192;0.003449;0.006345;98.6;0.333;2;
Zotu66;0.003131;0.004001;99.12;1.64;1.5;;;;Zotu204;0.004331;0.005209;98.83;0.0909;2.58;;;;Zotu1932;0.003426;0.006303;98.6;0.833;2.67;
Zotu499;0.003131;0.004001;99.12;1.73;0.333;;;;Zotu542;0.004318;0.005194;98.84;0.364;2.67;;;;Zotu1747;0.003426;0.006303;98.61;0.667;1.83;
Zotu260;0.003119;0.003985;99.13;0.182;1.92;;;;Zotu1627;0.004318;0.005194;98.84;0.364;2.83;;;;Zotu597;0.00338;0.006218;98.61;2.25;0.667;
Zotu484;0.003093;0.003952;99.13;0.182;1.92;;;;Zotu2280;0.004306;0.005179;98.85;0;2.58;;;;Zotu692;0.00338;0.006218;98.62;0.167;2;
Zotu1993;0.003093;0.003952;99.13;1.45;0.917;;;;Zotu632;0.004306;0.005179;98.85;0;2.58;;;;Zotu894;0.00338;0.006218;98.63;0.75;1.92;
Zotu1253;0.003081;0.003936;99.14;0.364;2;;;;Zotu638;0.004306;0.005179;98.86;0;2.58;;;;Zotu402;0.003356;0.006175;98.63;0.833;1.58;
Zotu581;0.003056;0.003904;99.14;0.0909;1.83;;;;Zotu1469;0.004306;0.005179;98.86;0;2.58;;;;Zotu743;0.003356;0.006175;98.64;1;2.42;
Zotu577;0.003056;0.003904;99.15;0;1.83;;;;Zotu689;0.004306;0.005179;98.87;0;2.58;;;;Zotu1065;0.003356;0.006175;98.65;0.333;2.08;
Zotu296;0.003043;0.003888;99.15;1.64;0.917;;;;Zotu842;0.004306;0.005179;98.87;0;2.58;;;;Zotu1592;0.003356;0.006175;98.65;0.833;1.67;
Zotu924;0.003043;0.003888;99.15;1.64;0.75;;;;Zotu524;0.004242;0.005103;98.88;2.55;0;;;;Zotu998;0.003356;0.006175;98.66;2.08;1.17;
Zotu879;0.00303;0.003872;99.16;1.82;0;;;;Zotu2222;0.004242;0.005103;98.88;2.45;0.333;;;;Zotu2236;0.003356;0.006175;98.66;3.17;1.67;
Zotu78;0.00303;0.003872;99.16;1.91;1;;;;Zotu962;0.004242;0.005103;98.89;2.55;0;;;;Zotu1389;0.003333;0.006132;98.67;2.17;0.333;
Zotu707;0.002917;0.003726;99.16;0;1.75;;;;Zotu485;0.00423;0.005088;98.89;2.55;0.0833;;;;Zotu60;0.00331;0.00609;98.68;1.08;1.83;
Zotu886;0.002917;0.003726;99.17;0;1.75;;;;Zotu554;0.00423;0.005088;98.9;0.0909;2.58;;;;Zotu594;0.003287;0.006047;98.68;2;0.583;
Zotu289;0.002917;0.003726;99.17;0;1.75;;;;Zotu1678;0.004205;0.005057;98.9;1.91;1.08;;;;Zotu968;0.003287;0.006047;98.69;0.25;1.92;
Zotu638;0.002917;0.003726;99.18;0;1.75;;;;Zotu753;0.004167;0.005012;98.91;0;2.5;;;;Zotu1253;0.003264;0.006005;98.69;2;1.25;
Zotu548;0.002917;0.003726;99.18;0;1.75;;;;Zotu915;0.004167;0.005012;98.91;0;2.5;;;;Zotu863;0.003264;0.006005;98.7;1.08;1.75;
Zotu1195;0.002904;0.00371;99.18;0.364;1.67;;;;Zotu1358;0.004167;0.005012;98.92;0;2.5;;;;Zotu62;0.003171;0.005834;98.71;1.83;1.83;
Zotu62;0.002854;0.003646;99.19;0.818;1.83;;;;Zotu103;0.004104;0.004936;98.92;2.45;0.75;;;;Zotu1865;0.003171;0.005834;98.71;1.5;1;
Zotu61;0.002841;0.00363;99.19;1.27;1.58;;;;Zotu1004;0.004091;0.004921;98.93;2.45;0;;;;Zotu768;0.003148;0.005792;98.72;2.25;1.17;
Zotu720;0.002778;0.003549;99.19;0;1.67;;;;Zotu300;0.004091;0.004921;98.93;2.45;0;;;;Zotu1383;0.003148;0.005792;98.72;3.25;3.08;
Zotu2179;0.002778;0.003549;99.2;0;1.67;;;;Zotu536;0.004003;0.004814;98.94;0.0909;2.42;;;;Zotu1695;0.003125;0.005749;98.73;2.08;0.333;
Zotu1179;0.002765;0.003533;99.2;0.364;1.75;;;;Zotu1932;0.00399;0.004799;98.94;0.364;2.67;;;;Zotu670;0.003102;0.005707;98.73;1.5;1.08;
Zotu279;0.002727;0.003485;99.2;0.273;1.67;;;;Zotu696;0.003977;0.004784;98.95;1.55;1.08;;;;Zotu2008;0.003056;0.005621;98.74;0.917;1.75;
Zotu1024;0.002727;0.003485;99.21;1.64;0;;;;Zotu901;0.003939;0.004738;98.95;2.36;0;;;;Zotu216;0.003056;0.005621;98.75;0;1.83;
Zotu1695;0.002715;0.003468;99.21;0.727;2.08;;;;Zotu1472;0.003939;0.004738;98.96;0.0909;2.33;;;;Zotu1088;0.003009;0.005536;98.75;1.42;0.917;
Zotu1835;0.002702;0.003452;99.22;0.455;1.5;;;;Zotu1565;0.003939;0.004738;98.96;2.27;0.833;;;;Zotu1835;0.003009;0.005536;98.76;1.5;1.08;
Zotu1858;0.002689;0.003436;99.22;0.909;1.75;;;;Zotu743;0.003927;0.004723;98.97;0.0909;2.42;;;;Zotu824;0.003009;0.005536;98.76;2.08;0.667;
Zotu441;0.002689;0.003436;99.22;1.64;0.0833;;;;Zotu702;0.003889;0.004678;98.97;0;2.33;;;;Zotu718;0.003009;0.005536;98.77;0.417;1.92;
Zotu696;0.002664;0.003404;99.23;1.55;0.0833;;;;Zotu687;0.003889;0.004678;98.98;0;2.33;;;;Zotu323;0.002986;0.005494;98.77;1.08;1.83;
Zotu1666;0.002639;0.003372;99.23;0.182;1.58;;;;Zotu2095;0.003826;0.004602;98.98;0.182;2.42;;;;Zotu1722;0.002963;0.005451;98.78;1;1.42;
Zotu659;0.002576;0.003291;99.23;1.55;0;;;;Zotu2181;0.003788;0.004556;98.98;2.27;0;;;;Zotu860;0.002963;0.005451;98.78;0.333;1.83;
Zotu1564;0.002576;0.003291;99.24;1.55;0;;;;Zotu848;0.003788;0.004556;98.99;2.27;0;;;;Zotu1500;0.00294;0.005408;98.79;1.42;1.42;
Zotu482;0.002576;0.003291;99.24;1.55;0;;;;Zotu987;0.00375;0.004511;98.99;0;2.25;;;;Zotu886;0.002917;0.005366;98.8;1.75;0;
Zotu391;0.002551;0.003259;99.24;1.55;0.5;;;;Zotu681;0.00375;0.004511;99;0;2.25;;;;Zotu707;0.002917;0.005366;98.8;1.75;0;
Zotu58;0.002538;0.003243;99.25;1.27;1.25;;;;Zotu1858;0.00375;0.004511;99;0.909;2.58;;;;Zotu712;0.002917;0.005366;98.81;0;1.75;
Zotu2077;0.002525;0.003226;99.25;1.36;0.667;;;;Zotu1131;0.00375;0.004511;99.01;1.82;1.75;;;;Zotu829;0.002917;0.005366;98.81;0.5;1.92;
Zotu49;0.002513;0.00321;99.25;1.45;1.08;;;;Zotu1195;0.003737;0.004495;99.01;0.364;2.5;;;;Zotu772;0.002894;0.005323;98.82;0.0833;1.75;
Zotu804;0.0025;0.003194;99.25;0.182;1.5;;;;Zotu1795;0.003737;0.004495;99.02;2.27;0.333;;;;Zotu545;0.00287;0.005281;98.82;0.0833;1.75;
Zotu670;0.0025;0.003194;99.26;0;1.5;;;;Zotu804;0.003725;0.00448;99.02;0.182;2.25;;;;Zotu260;0.00287;0.005281;98.83;1.92;0.5;
Zotu744;0.0025;0.003194;99.26;0;1.5;;;;Zotu308;0.003712;0.004465;99.03;0.273;2.33;;;;Zotu1196;0.00287;0.005281;98.83;0.417;1.83;
Zotu2255;0.0025;0.003194;99.26;0;1.5;;;;Zotu386;0.003699;0.00445;99.03;1.18;2.08;;;;Zotu786;0.002824;0.005196;98.84;1.17;0.917;
Zotu1865;0.0025;0.003194;99.27;0;1.5;;;;Zotu2115;0.003699;0.00445;99.03;2.09;0.583;;;;Zotu1758;0.002824;0.005196;98.84;0.917;1.42;
Zotu915;0.0025;0.003194;99.27;0;1.5;;;;Zotu498;0.003649;0.004389;99.04;2.18;0.25;;;;Zotu2032;0.002801;0.005153;98.85;0.333;1.75;
Zotu133;0.002487;0.003178;99.27;1.18;0.75;;;;Zotu991;0.003636;0.004374;99.04;2.18;0;;;;Zotu2218;0.002801;0.005153;98.85;0.333;1.67;
Zotu1900;0.002475;0.003162;99.28;0.0909;1.5;;;;Zotu876;0.003636;0.004374;99.05;2.18;0;;;;Zotu641;0.002801;0.005153;98.86;0.917;1;
Zotu2249;0.002462;0.003146;99.28;0.727;1.42;;;;Zotu909;0.003636;0.004374;99.05;2.18;0;;;;Zotu586;0.002801;0.005153;98.86;0.25;1.58;
Zotu1245;0.002424;0.003097;99.28;1.45;0;;;;Zotu715;0.003611;0.004344;99.06;0;2.17;;;;Zotu929;0.002801;0.005153;98.87;1.42;0.917;
Zotu1957;0.002424;0.003097;99.29;1.45;0;;;;Zotu1676;0.003586;0.004313;99.06;2.18;0.333;;;;Zotu1091;0.002778;0.00511;98.87;0.667;1.83;
Zotu2138;0.002424;0.003097;99.29;1.45;0;;;;Zotu1564;0.00351;0.004222;99.06;1.55;1.17;;;;Zotu1731;0.002778;0.00511;98.88;0;1.67;
Zotu558;0.002412;0.003081;99.29;1.45;0.0833;;;;Zotu1984;0.003485;0.004192;99.07;2.09;0;;;;Zotu720;0.002778;0.00511;98.88;1.67;0;
Zotu1813;0.002361;0.003017;99.3;0;1.42;;;;Zotu215;0.003472;0.004176;99.07;0.182;2.08;;;;Zotu314;0.002731;0.005025;98.89;0.5;1.33;
Zotu1088;0.002361;0.003017;99.3;0.182;1.42;;;;Zotu1065;0.003472;0.004176;99.08;0;2.08;;;;Zotu1666;0.002731;0.005025;98.89;1.58;0.667;
Zotu1862;0.002361;0.003017;99.3;0;1.42;;;;Zotu1192;0.00346;0.004161;99.08;0.455;2;;;;Zotu970;0.002708;0.004983;98.9;0.5;1.67;
Zotu1067;0.002361;0.003017;99.3;0;1.42;;;;Zotu911;0.003434;0.004131;99.09;1.18;1.17;;;;Zotu2243;0.002708;0.004983;98.9;0.417;1.5;
Zotu891;0.002361;0.003017;99.31;0;1.42;;;;Zotu659;0.003409;0.004101;99.09;1.55;0.833;;;;Zotu2166;0.002685;0.00494;98.91;0.167;1.58;
Zotu417;0.002348;0.003001;99.31;0.182;1.33;;;;Zotu1993;0.003384;0.00407;99.09;1.45;1.17;;;;Zotu1056;0.002639;0.004855;98.91;0;1.58;
Zotu308;0.002348;0.003001;99.31;0.273;1.33;;;;Zotu66;0.003371;0.004055;99.1;1.64;1.75;;;;Zotu1179;0.002639;0.004855;98.92;1.75;0.583;
Zotu1746;0.002336;0.002984;99.32;0.273;1.58;;;;Zotu692;0.003359;0.00404;99.1;0.0909;2;;;;Zotu2007;0.002639;0.004855;98.92;1.33;0.667;
Zotu926;0.002336;0.002984;99.32;1.36;0.0833;;;;Zotu919;0.003333;0.004009;99.11;2;0;;;;Zotu103;0.002593;0.00477;98.93;1.5;0.75;
Zotu319;0.002323;0.002968;99.32;0.273;1.33;;;;Zotu925;0.003333;0.004009;99.11;2;0;;;;Zotu960;0.002593;0.00477;98.93;1.42;1.42;
Zotu1264;0.002311;0.002952;99.33;1.36;0.0833;;;;Zotu299;0.003333;0.004009;99.11;0.727;2.17;;;;Zotu793;0.002593;0.00477;98.94;0.833;1.17;
Zotu929;0.002311;0.002952;99.33;0.818;1.42;;;;Zotu1686;0.003333;0.004009;99.12;0;2;;;;Zotu2067;0.002569;0.004727;98.94;0.75;0.917;
Zotu960;0.002285;0.00292;99.33;0.0909;1.42;;;;Zotu829;0.003295;0.003964;99.12;0.273;1.92;;;;Zotu1769;0.002546;0.004685;98.95;1.08;1.08;
Zotu259;0.002273;0.002904;99.33;0.182;1.33;;;;Zotu61;0.003283;0.003949;99.13;1.27;1.83;;;;Zotu1491;0.002546;0.004685;98.95;0.0833;1.58;
Zotu1055;0.002273;0.002904;99.34;1.36;0;;;;Zotu45;0.003283;0.003949;99.13;1.36;2;;;;Zotu58;0.002477;0.004557;98.96;1.25;0.917;
Zotu1627;0.00226;0.002888;99.34;0.364;1.42;;;;Zotu894;0.003245;0.003903;99.13;0.636;1.92;;;;Zotu799;0.002477;0.004557;98.96;0.25;1.42;
Zotu2007;0.002247;0.002871;99.34;0.0909;1.33;;;;Zotu60;0.003232;0.003888;99.14;0.727;1.83;;;;Zotu821;0.002477;0.004557;98.97;1.33;0.667;
Zotu1894;0.002235;0.002855;99.35;0.455;1.25;;;;Zotu834;0.00322;0.003873;99.14;0.909;1.25;;;;Zotu99;0.002454;0.004514;98.97;1.08;0.75;
Zotu490;0.002235;0.002855;99.35;0.636;1.42;;;;Zotu2085;0.003194;0.003842;99.14;1.91;0.0833;;;;Zotu2255;0.002454;0.004514;98.97;1.5;0.0833;
Zotu1241;0.002222;0.002839;99.35;0;1.33;;;;Zotu968;0.003194;0.003842;99.15;0;1.92;;;;Zotu891;0.002454;0.004514;98.98;1.42;0.0833;
Zotu821;0.002222;0.002839;99.35;0;1.33;;;;Zotu718;0.003194;0.003842;99.15;0;1.92;;;;Zotu76;0.002454;0.004514;98.98;1.25;0.75;
Zotu51;0.00221;0.002823;99.36;0.273;1.42;;;;Zotu1692;0.003182;0.003827;99.16;1.91;0;;;;Zotu337;0.002407;0.004429;98.99;1.42;0.583;
Zotu104;0.002197;0.002807;99.36;0.182;1.33;;;;Zotu1901;0.003182;0.003827;99.16;1.91;0;;;;Zotu104;0.002407;0.004429;98.99;1.33;0.917;
Zotu690;0.002197;0.002807;99.36;0.455;1;;;;Zotu328;0.003169;0.003812;99.16;0.364;1.92;;;;Zotu517;0.002407;0.004429;99;0.5;1.5;
Zotu76;0.002184;0.002791;99.37;1.09;1.25;;;;Zotu1809;0.003157;0.003797;99.17;1.36;1;;;;Zotu790;0.002407;0.004429;99;0.0833;1.42;
Zotu2239;0.002146;0.002742;99.37;0.0909;1.33;;;;Zotu860;0.003157;0.003797;99.17;0.273;1.83;;;;Zotu1900;0.002407;0.004429;99.01;1.5;0.333;
Zotu427;0.002134;0.002726;99.37;1.27;0.0833;;;;Zotu2098;0.003144;0.003782;99.18;2;0.417;;;;Zotu464;0.002384;0.004386;99.01;0.75;1.08;
Zotu1518;0.002096;0.002678;99.37;0.273;1.33;;;;Zotu1699;0.003131;0.003766;99.18;1.45;1.17;;;;Zotu551;0.002361;0.004344;99.01;0.167;1.42;
Zotu773;0.002083;0.002662;99.38;0;1.25;;;;Zotu1492;0.003106;0.003736;99.18;2.18;1.33;;;;Zotu1067;0.002361;0.004344;99.02;1.42;0;
Zotu715;0.002083;0.002662;99.38;0;1.25;;;;Zotu1747;0.003106;0.003736;99.19;0.182;1.83;;;;Zotu756;0.002361;0.004344;99.02;0.167;1.33;
Zotu158;0.002083;0.002662;99.38;1.18;0.25;;;;Zotu1544;0.003093;0.003721;99.19;0.455;1.92;;;;Zotu984;0.002315;0.004259;99.03;0.667;1.08;
Zotu1136;0.002083;0.002662;99.38;0;1.25;;;;Zotu348;0.003056;0.003675;99.19;1.09;1.17;;;;Zotu808;0.002315;0.004259;99.03;1.08;1.17;
Zotu856;0.002083;0.002662;99.39;0;1.25;;;;Zotu216;0.003056;0.003675;99.2;0;1.83;;;;Zotu275;0.002292;0.004216;99.04;1.75;0.5;
Zotu411;0.002071;0.002646;99.39;0.273;1.33;;;;Zotu1196;0.003056;0.003675;99.2;0;1.83;;;;Zotu327;0.002292;0.004216;99.04;0.833;1.5;
Zotu554;0.002033;0.002597;99.39;0.0909;1.25;;;;Zotu1091;0.003056;0.003675;99.21;0;1.83;;;;Zotu1258;0.002292;0.004216;99.04;0.167;1.33;
Zotu99;0.002033;0.002597;99.39;0.273;1.08;;;;Zotu879;0.003043;0.00366;99.21;1.82;0.0833;;;;Zotu724;0.002292;0.004216;99.05;0.667;1.25;
Zotu70;0.002008;0.002565;99.4;0.545;1.25;;;;Zotu417;0.003043;0.00366;99.21;0.182;1.75;;;;Zotu1912;0.002269;0.004173;99.05;0.917;1;
Zotu218;0.002008;0.002565;99.4;1.18;0.0833;;;;Zotu1592;0.00303;0.003645;99.22;0.455;1.67;;;;Zotu1801;0.002269;0.004173;99.06;0.667;1.17;
Zotu126;0.002008;0.002565;99.4;0.364;1.08;;;;Zotu1002;0.003005;0.003615;99.22;1.45;1;;;;Zotu2191;0.002269;0.004173;99.06;0.0833;1.33;
Zotu60;0.001982;0.002533;99.41;0.727;1.08;;;;Zotu323;0.00298;0.003584;99.22;0.0909;1.83;;;;Zotu697;0.002269;0.004173;99.07;0.833;0.667;
Zotu1517;0.001982;0.002533;99.41;1.18;0.0833;;;;Zotu1024;0.002955;0.003554;99.23;1.64;0.167;;;;Zotu407;0.002245;0.004131;99.07;0.417;1.17;
Zotu911;0.00197;0.002517;99.41;1.18;0;;;;Zotu499;0.002942;0.003539;99.23;1.73;0.0833;;;;Zotu1438;0.002222;0.004088;99.07;0;1.33;
Zotu1287;0.00197;0.002517;99.41;1.18;0;;;;Zotu545;0.002917;0.003508;99.23;0;1.75;;;;Zotu658;0.002222;0.004088;99.08;0;1.33;
Zotu1228;0.00197;0.002517;99.42;1.18;0;;;;Zotu1931;0.002917;0.003508;99.24;0.0909;1.75;;;;Zotu70;0.002222;0.004088;99.08;1.25;0.917;
Zotu1915;0.00197;0.002517;99.42;1.18;0;;;;Zotu172;0.002917;0.003508;99.24;0.273;1.75;;;;Zotu796;0.002222;0.004088;99.09;0.333;1.25;
Zotu570;0.00197;0.002517;99.42;1.18;0;;;;Zotu712;0.002917;0.003508;99.24;0;1.75;;;;Zotu72;0.002199;0.004046;99.09;0.75;1;
Zotu820;0.001944;0.002484;99.42;0;1.17;;;;Zotu772;0.002917;0.003508;99.25;0;1.75;;;;Zotu834;0.002199;0.004046;99.09;0.167;1.25;
Zotu496;0.001944;0.002484;99.43;0;1.17;;;;Zotu942;0.002917;0.003508;99.25;1.45;0.417;;;;Zotu690;0.002199;0.004046;99.1;1;0.417;
Zotu644;0.001944;0.002484;99.43;0;1.17;;;;Zotu1831;0.002904;0.003493;99.25;0.455;1.83;;;;Zotu839;0.002153;0.003961;99.1;0.25;1.17;
Zotu786;0.001944;0.002484;99.43;0;1.17;;;;Zotu2236;0.002904;0.003493;99.26;0.818;1.67;;;;Zotu820;0.002153;0.003961;99.11;1.17;0.917;
Zotu2253;0.001944;0.002484;99.43;0.636;0.833;;;;Zotu62;0.002904;0.003493;99.26;0.818;1.83;;;;Zotu693;0.002153;0.003961;99.11;1;0.833;
Zotu2128;0.001907;0.002436;99.44;0.636;1.08;;;;Zotu759;0.002879;0.003463;99.27;1.73;0;;;;Zotu98;0.002153;0.003961;99.11;1.08;0.667;
Zotu808;0.001881;0.002404;99.44;0.455;1.08;;;;Zotu392;0.002866;0.003447;99.27;0.273;1.75;;;;Zotu1746;0.002106;0.003875;99.12;1.58;0.75;
Zotu230;0.001881;0.002404;99.44;0.273;1.08;;;;Zotu2008;0.002816;0.003387;99.27;0.182;1.75;;;;Zotu1776;0.002106;0.003875;99.12;0.5;1.08;
Zotu1592;0.001843;0.002355;99.44;0.455;0.833;;;;Zotu478;0.002778;0.003341;99.28;0.636;1.5;;;;Zotu2175;0.002106;0.003875;99.13;1;1.08;
Zotu1239;0.001818;0.002323;99.44;1.09;0;;;;Zotu2218;0.002778;0.003341;99.28;0;1.67;;;;Zotu472;0.002106;0.003875;99.13;0.667;0.833;
Zotu72;0.001806;0.002307;99.45;0.727;0.75;;;;Zotu2138;0.002778;0.003341;99.28;1.45;0.667;;;;Zotu268;0.002083;0.003833;99.13;0;1.25;
Zotu1769;0.001806;0.002307;99.45;0;1.08;;;;Zotu1046;0.002753;0.003311;99.29;1.45;0.833;;;;Zotu717;0.002083;0.003833;99.14;0.25;1.08;
Zotu883;0.001806;0.002307;99.45;0;1.08;;;;Zotu924;0.00274;0.003296;99.29;1.64;0.0833;;;;Zotu1993;0.002083;0.003833;99.14;0.917;1.17;
Zotu323;0.001806;0.002307;99.45;0.0909;1.08;;;;Zotu970;0.002727;0.00328;99.29;0.0909;1.67;;;;Zotu2163;0.002083;0.003833;99.14;0;1.25;
Zotu884;0.001806;0.002307;99.46;0;1.08;;;;Zotu799;0.002715;0.003265;99.3;0.364;1.42;;;;Zotu133;0.002083;0.003833;99.15;0.75;0.833;
Zotu784;0.00178;0.002275;99.46;1;0.0833;;;;Zotu402;0.002689;0.003235;99.3;0.182;1.58;;;;Zotu1818;0.002083;0.003833;99.15;0.333;1.25;
Zotu673;0.00178;0.002275;99.46;0.0909;1.08;;;;Zotu586;0.002664;0.003204;99.3;0.0909;1.58;;;;Zotu1200;0.002083;0.003833;99.16;0;1.25;
Zotu2094;0.001768;0.002258;99.46;0.727;1;;;;Zotu80;0.002652;0.003189;99.3;0.545;1.67;;;;Zotu674;0.002083;0.003833;99.16;0;1.25;
Zotu91;0.001755;0.002242;99.47;1;0.75;;;;Zotu441;0.002652;0.003189;99.31;1.64;0.167;;;;Zotu1090;0.00206;0.00379;99.16;0.333;1;
Zotu1224;0.001755;0.002242;99.47;1;0.0833;;;;Zotu1056;0.002639;0.003174;99.31;0;1.58;;;;Zotu319;0.002037;0.003748;99.17;1.33;0.5;
Zotu834;0.001742;0.002226;99.47;0.909;0.167;;;;Zotu1491;0.002639;0.003174;99.31;0;1.58;;;;Zotu734;0.002037;0.003748;99.17;0.5;1.08;
Zotu978;0.00173;0.00221;99.47;1;0.0833;;;;Zotu2166;0.002639;0.003174;99.32;0;1.58;;;;Zotu465;0.002037;0.003748;99.18;0.333;1.17;
Zotu2201;0.00173;0.00221;99.47;0.545;0.917;;;;Zotu369;0.002576;0.003098;99.32;1.55;0;;;;Zotu1894;0.002037;0.003748;99.18;1.25;0.417;
Zotu943;0.00173;0.00221;99.48;0.545;0.75;;;;Zotu391;0.002576;0.003098;99.32;1.55;0;;;;Zotu644;0.002014;0.003705;99.18;1.17;0.25;
Zotu870;0.001717;0.002194;99.48;0.182;1;;;;Zotu482;0.002576;0.003098;99.33;1.55;0;;;;Zotu2010;0.002014;0.003705;99.19;0.333;1.25;
Zotu182;0.001717;0.002194;99.48;0.818;1;;;;Zotu2243;0.0025;0.003007;99.33;0;1.5;;;;Zotu1678;0.001991;0.003662;99.19;0.167;1.08;
Zotu65;0.001692;0.002162;99.48;0.818;0.667;;;;Zotu133;0.0025;0.003007;99.33;1.18;0.833;;;;Zotu93;0.001991;0.003662;99.19;0.833;0.917;
Zotu745;0.001692;0.002162;99.48;0.0909;1;;;;Zotu558;0.002487;0.002992;99.34;1.45;0.25;;;;Zotu654;0.001968;0.00362;99.2;0.583;0.75;
Zotu655;0.001679;0.002146;99.49;0.182;0.917;;;;Zotu327;0.002449;0.002946;99.34;0.0909;1.5;;;;Zotu773;0.001968;0.00362;99.2;1.25;0.0833;
Zotu743;0.001667;0.002129;99.49;0.0909;1;;;;Zotu1827;0.002424;0.002916;99.34;0.545;1.67;;;;Zotu225;0.001944;0.003577;99.2;1.17;0.25;
Zotu1469;0.001667;0.002129;99.49;0;1;;;;Zotu1245;0.002424;0.002916;99.34;1.45;0;;;;Zotu1241;0.001944;0.003577;99.21;1.33;0.25;
Zotu1722;0.001667;0.002129;99.49;0;1;;;;Zotu1957;0.002424;0.002916;99.35;1.45;0;;;;Zotu1564;0.001944;0.003577;99.21;0;1.17;
Zotu1927;0.001667;0.002129;99.5;1;0;;;;Zotu58;0.002412;0.002901;99.35;1.27;0.917;;;;Zotu911;0.001944;0.003577;99.22;0;1.17;
Zotu892;0.001667;0.002129;99.5;0;1;;;;Zotu839;0.002399;0.002886;99.35;0.455;1.17;;;;Zotu1896;0.001944;0.003577;99.22;0;1.17;
Zotu1355;0.001667;0.002129;99.5;1;0;;;;Zotu590;0.002386;0.00287;99.36;0.182;1.42;;;;Zotu91;0.001944;0.003577;99.22;0.75;1.08;
Zotu1725;0.001667;0.002129;99.5;1;0;;;;Zotu1722;0.002361;0.00284;99.36;0;1.42;;;;Zotu856;0.001944;0.003577;99.23;1.25;0.25;
Zotu693;0.001667;0.002129;99.5;0;1;;;;Zotu1758;0.002361;0.00284;99.36;0;1.42;;;;Zotu2239;0.001898;0.003492;99.23;1.33;0.833;
Zotu894;0.001654;0.002113;99.51;0.636;0.75;;;;Zotu551;0.002361;0.00284;99.36;0;1.42;;;;Zotu1733;0.001898;0.003492;99.23;0.833;0.667;
Zotu107;0.001629;0.002081;99.51;0.727;0.75;;;;Zotu790;0.002361;0.00284;99.37;0;1.42;;;;Zotu696;0.001875;0.00345;99.24;0.0833;1.08;
Zotu1326;0.001629;0.002081;99.51;0.364;0.75;;;;Zotu517;0.002348;0.002825;99.37;0.273;1.5;;;;Zotu65;0.001875;0.00345;99.24;0.667;1;
Zotu2175;0.001616;0.002065;99.51;0.545;1;;;;Zotu960;0.002336;0.00281;99.37;0.0909;1.42;;;;Zotu864;0.001875;0.00345;99.24;0.0833;1.08;
Zotu159;0.001591;0.002033;99.51;0.818;0.5;;;;Zotu1264;0.002311;0.002779;99.38;1.36;0.0833;;;;Zotu96;0.001875;0.00345;99.25;0.25;1.17;
Zotu2008;0.001578;0.002016;99.52;0.182;0.917;;;;Zotu158;0.002311;0.002779;99.38;1.18;0.583;;;;Zotu967;0.001852;0.003407;99.25;0.333;1;
Zotu294;0.001553;0.001984;99.52;0.364;0.75;;;;Zotu2077;0.002311;0.002779;99.38;1.36;0.25;;;;Zotu763;0.001852;0.003407;99.25;0.167;1.08;
Zotu739;0.001553;0.001984;99.52;0.909;0.0833;;;;Zotu1582;0.002285;0.002749;99.38;0.273;1.42;;;;Zotu128;0.001829;0.003364;99.26;0.75;0.833;
Zotu794;0.001553;0.001984;99.52;0.0909;0.917;;;;Zotu314;0.002273;0.002734;99.39;0.0909;1.33;;;;Zotu125;0.001829;0.003364;99.26;1.08;0.583;
