Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_ctr_D16;Mean Cop_ctr_D21;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_ctr_D16;Mean Cop_ctr_D24;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_ctr_D21;Mean Cop_ctr_D24;
Zotu71;0.2842;0.3632;78.6;172;4.5;;;;Zotu16;0.314;0.3777;74.31;194;5.42;;;;Zotu39;0.23;0.4231;73.8;163;142;
Zotu26;0.2729;0.3487;78.95;100;215;;;;Zotu71;0.2945;0.3542;74.66;172;27.3;;;;Zotu47;0.2284;0.4203;74.22;204;252;
Zotu2078;0.2715;0.3469;79.3;40.2;191;;;;Zotu25;0.2836;0.3411;75;48.2;210;;;;Zotu742;0.2281;0.4196;74.64;192;112;
Zotu101;0.2698;0.3448;79.64;165;25.1;;;;Zotu101;0.275;0.3308;75.33;165;49.8;;;;Zotu56;0.2253;0.4145;75.05;206;139;
Zotu74;0.2552;0.3261;79.97;154;6;;;;Zotu57;0.2611;0.314;75.65;23.2;179;;;;Zotu2078;0.2149;0.3953;75.45;191;123;
Zotu64;0.2474;0.3161;80.28;40.5;169;;;;Zotu74;0.2574;0.3097;75.96;154;22.7;;;;Zotu2118;0.2081;0.3828;75.83;216;161;
Zotu677;0.2338;0.2987;80.58;144;3.25;;;;Zotu1717;0.257;0.3091;76.27;15.8;170;;;;Zotu57;0.2046;0.3763;76.2;196;179;
Zotu39;0.2306;0.2947;80.88;29.7;163;;;;Zotu2118;0.2561;0.308;76.57;7.18;161;;;;Zotu155;0.1785;0.3284;76.53;2.67;110;
Zotu77;0.2306;0.2946;81.17;138;0.25;;;;Zotu63;0.2547;0.3063;76.88;4.82;157;;;;Zotu102;0.1764;0.3245;76.86;27.3;119;
Zotu245;0.2293;0.2929;81.46;1.27;139;;;;Zotu23;0.2495;0.3001;77.18;1.36;151;;;;Zotu50;0.168;0.3091;77.17;192;125;
Zotu35;0.2209;0.2822;81.75;134;1.92;;;;Zotu92;0.2403;0.289;77.47;14.2;155;;;;Zotu1610;0.165;0.3036;77.47;59.9;137;
Zotu1943;0.2162;0.2763;82.02;134;4;;;;Zotu77;0.2332;0.2804;77.75;138;4.33;;;;Zotu43;0.1619;0.2978;77.77;127;30.9;
Zotu1650;0.2155;0.2753;82.3;132;2.33;;;;Zotu677;0.2316;0.2786;78.03;144;4.58;;;;Zotu27;0.1595;0.2935;78.06;124;30.4;
Zotu896;0.2152;0.2749;82.57;129;0.167;;;;Zotu56;0.2285;0.2748;78.3;2.09;139;;;;Zotu19;0.1522;0.28;78.34;16.5;90.7;
Zotu15;0.2068;0.2643;82.84;77.3;147;;;;Zotu245;0.2205;0.2652;78.57;1.27;134;;;;Zotu38;0.1441;0.2651;78.61;114;144;
Zotu890;0.181;0.2313;83.07;14;121;;;;Zotu35;0.2186;0.2629;78.83;134;3.42;;;;Zotu109;0.1435;0.2641;78.87;20.6;95.1;
Zotu52;0.1777;0.227;83.3;84.4;87;;;;Zotu896;0.2153;0.259;79.09;129;0.0833;;;;Zotu121;0.1417;0.2606;79.13;3.17;88.1;
Zotu100;0.1692;0.2161;83.51;103;1.42;;;;Zotu1650;0.2142;0.2577;79.35;132;3.17;;;;Zotu115;0.1399;0.2574;79.39;0.667;84.6;
Zotu365;0.1678;0.2144;83.73;13.6;114;;;;Zotu38;0.2081;0.2504;79.6;19.5;144;;;;Zotu69;0.1391;0.2559;79.64;99;15.6;
Zotu97;0.1645;0.2102;83.94;101;4.08;;;;Zotu50;0.2071;0.2491;79.85;0.727;125;;;;Zotu245;0.1379;0.2537;79.9;139;134;
Zotu180;0.1634;0.2087;84.15;103;6.17;;;;Zotu1610;0.2013;0.2421;80.09;16.7;137;;;;Zotu154;0.1375;0.253;80.15;3.33;85.6;
Zotu38;0.1603;0.2048;84.35;19.5;114;;;;Zotu39;0.2004;0.2411;80.33;29.7;142;;;;Zotu9;0.136;0.2502;80.4;38.6;88.4;
Zotu823;0.159;0.2032;84.55;102;7.5;;;;Zotu102;0.1974;0.2374;80.57;0.364;119;;;;Zotu132;0.1349;0.2482;80.65;6.58;85.2;
Zotu43;0.1547;0.1977;84.75;78;127;;;;Zotu1943;0.189;0.2274;80.8;134;30.5;;;;Zotu20;0.1309;0.2409;80.89;15.3;78.9;
Zotu54;0.1539;0.1966;84.95;93.2;0.833;;;;Zotu180;0.1693;0.2037;81;103;1.92;;;;Zotu365;0.13;0.2391;81.13;114;53;
Zotu2146;0.1502;0.1919;85.14;10.5;99.9;;;;Zotu2078;0.1683;0.2024;81.2;40.2;123;;;;Zotu67;0.1206;0.222;81.35;81.8;9.75;
Zotu1607;0.149;0.1903;85.33;89.6;0.25;;;;Zotu100;0.1673;0.2013;81.4;103;2.5;;;;Zotu890;0.1188;0.2186;81.57;121;73.2;
Zotu1299;0.1369;0.1749;85.5;92.1;17.8;;;;Zotu155;0.1672;0.2011;81.6;13.5;110;;;;Zotu621;0.1187;0.2183;81.79;5.17;76.2;
Zotu189;0.1329;0.1698;85.67;79.8;0.0833;;;;Zotu97;0.167;0.2008;81.8;101;22.9;;;;Zotu14;0.118;0.217;82.01;52.3;87.8;
Zotu27;0.1306;0.1669;85.84;74.5;124;;;;Zotu588;0.1612;0.1939;82;33;124;;;;Zotu116;0.1113;0.2048;82.21;0.0833;66.8;
Zotu25;0.1274;0.1627;86;48.2;79.9;;;;Zotu742;0.1594;0.1918;82.19;18.3;112;;;;Zotu53;0.1087;0.1999;82.41;1.92;66.4;
Zotu69;0.123;0.1571;86.16;38.1;99;;;;Zotu109;0.1573;0.1892;82.38;0.727;95.1;;;;Zotu51;0.1041;0.1915;82.6;1.42;63.5;
Zotu996;0.1215;0.1553;86.32;87.5;18.1;;;;Zotu64;0.1557;0.1872;82.57;40.5;107;;;;Zotu87;0.1032;0.1899;82.79;10.6;69.3;
Zotu764;0.1209;0.1545;86.47;81.2;9.42;;;;Zotu823;0.1535;0.1846;82.75;102;11.3;;;;Zotu2052;0.09963;0.1833;82.97;7.75;61.7;
Zotu1557;0.1173;0.1499;86.62;16.9;86.5;;;;Zotu54;0.1522;0.183;82.93;93.2;2;;;;Zotu406;0.09896;0.1821;83.16;69.9;83.2;
Zotu237;0.1169;0.1494;86.77;2.27;72.4;;;;Zotu1607;0.1491;0.1794;83.11;89.6;0.167;;;;Zotu2146;0.0981;0.1805;83.34;99.9;61.1;
Zotu67;0.1152;0.1471;86.92;21.1;81.8;;;;Zotu132;0.1408;0.1694;83.28;0.818;85.2;;;;Zotu136;0.09146;0.1683;83.51;0.167;54.8;
Zotu406;0.1103;0.1409;87.06;3.73;69.9;;;;Zotu115;0.1404;0.1688;83.45;0.364;84.6;;;;Zotu2074;0.08822;0.1623;83.67;3;53.1;
Zotu556;0.1081;0.1382;87.2;71.5;10.8;;;;Zotu14;0.1387;0.1668;83.62;4.64;87.8;;;;Zotu126;0.08586;0.158;83.83;1.08;52.2;
Zotu1433;0.1055;0.1348;87.33;63.6;0.417;;;;Zotu121;0.1381;0.1662;83.78;7;88.1;;;;Zotu83;0.08544;0.1572;83.98;4.25;53.7;
Zotu2027;0.09985;0.1276;87.46;60.7;2.33;;;;Zotu26;0.1373;0.1652;83.95;100;30.4;;;;Zotu152;0.08093;0.1489;84.13;31.1;64.1;
Zotu840;0.09956;0.1272;87.59;61.5;1.92;;;;Zotu1299;0.1336;0.1607;84.11;92.1;51.8;;;;Zotu1557;0.08069;0.1485;84.28;86.5;49.5;
Zotu145;0.09768;0.1248;87.71;59.5;11.2;;;;Zotu406;0.1329;0.1599;84.27;3.73;83.2;;;;Zotu237;0.08002;0.1472;84.43;72.4;57.1;
Zotu149;0.09729;0.1243;87.84;56.9;9.08;;;;Zotu154;0.1327;0.1596;84.43;8.82;85.6;;;;Zotu171;0.07965;0.1465;84.57;48.2;29.8;
Zotu130;0.09533;0.1218;87.96;61.7;7.83;;;;Zotu189;0.1325;0.1593;84.59;79.8;0.333;;;;Zotu161;0.07778;0.1431;84.72;4.75;51.4;
Zotu256;0.09058;0.1157;88.07;0.818;55.2;;;;Zotu621;0.1265;0.1521;84.74;0.273;76.2;;;;Zotu256;0.07611;0.14;84.86;55.2;58.6;
Zotu179;0.09016;0.1152;88.19;53.8;0.583;;;;Zotu996;0.1252;0.1506;84.89;87.5;16.3;;;;Zotu141;0.07292;0.1341;84.99;15.1;51.3;
Zotu118;0.09003;0.115;88.3;4.36;58.2;;;;Zotu764;0.1233;0.1483;85.04;81.2;8.08;;;;Zotu122;0.07236;0.1331;85.12;6.33;44.7;
Zotu167;0.08908;0.1138;88.42;57;4.92;;;;Zotu87;0.1125;0.1353;85.18;1.82;69.3;;;;Zotu2040;0.0719;0.1323;85.26;40.6;64.7;
Zotu1735;0.08894;0.1136;88.53;53.4;0;;;;Zotu116;0.1113;0.1339;85.31;0.0909;66.8;;;;Zotu1945;0.07118;0.131;85.39;38.6;43.7;
Zotu81;0.0872;0.1114;88.64;52.6;0.5;;;;Zotu44;0.1106;0.133;85.44;64.2;96.8;;;;Zotu118;0.07069;0.1301;85.52;58.2;17.7;
Zotu142;0.08687;0.111;88.75;35.1;37.8;;;;Zotu53;0.11;0.1324;85.58;0.545;66.4;;;;Zotu165;0.06958;0.128;85.65;1.83;41.2;
Zotu332;0.08665;0.1107;88.86;52.5;0.917;;;;Zotu556;0.1073;0.1291;85.7;71.5;12.3;;;;Zotu172;0.06926;0.1274;85.77;42.8;1.75;
